License Number,Facility Name,Street Address,City,Parish,Facility Phone Number,License Capacity,License Type,License Status,Age Range,Operation Days,Director,Director Designee
50223,Waldorf School of New Orleans,2010 Peniston St,New Orleans,ORLEANS,5043452366,28,Type II ,Open,8 W To 4 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Jan Lopez,
50225,Audubon Primary Preschool,7818 Earhart Blvd,New Orleans,ORLEANS,5043043077,134,Type II ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Jewel Stafford,Joamir MoretaLantigua
50228,Adventure Awaits Learning Academy,3172 Highway 316,Gray,LAFOURCHE,9852628221,81,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Nicole Pinell; Elizabeth Roberts,Shelby Pinell
50236,Courtney's Christian Preparatory School,3054 Evangeline St,Baton Rouge,EAST BATON ROUGE,2253565907,61,Type III ,Open,6 W To 17 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Rose Grimes; Letitia Smith,Vonda Jones
50237,St. Philip Neri Early Learning Center,6500 Kawanee Avenue,Metairie,JEFFERSON,5048872322,137,Type I ,Open,6 W To 3 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Lora Robinette,Lila  Wilson Burton ; Madeline Gonsoulin; Farentia  Allen ; Melissa  Ratcliff
50238,The Gingerbread House Learning Center,519 Magazine St,Hammond,TANGIPAHOA,9853402887,40,Type III ,Open,4 W To 12 Y,Monday From: 06:30 To: 16:30 / Tuesday From: 06:30 To: 16:30 / Wednesday From: 06:30 To: 16:30 / Thursday From: 06:30 To: 16:30 / Friday From: 06:30 To: 16:30,Kim Slocum,
50241,Chica & Rella's Little Angels,744 Hall St,Opelousas,ST. LANDRY,3376783730,36,Type III ,Open,6 W To 13 Y,Monday From: 07:00 To: 16:30 / Tuesday From: 07:00 To: 16:30 / Wednesday From: 07:00 To: 16:30 / Thursday From: 07:00 To: 16:30 / Friday From: 07:00 To: 16:30,Lachica Wilson,Vera Hollier
50246,Belle Chasse Academy Pre-Kindergarten,100 5th St,Belle Chasse,PLAQUEMINES,5044335850,45,Type III ,Open,3 Y To 5 Y,Monday From: 07:45 To: 15:45 / Tuesday From: 07:45 To: 15:45 / Wednesday From: 07:45 To: 15:45 / Thursday From: 07:45 To: 15:45 / Friday From: 07:45 To: 15:45,Rene  Thompson,
50263,LaCarta Early Learning Academy,1531 Green Oak Dr,Baton Rouge,EAST BATON ROUGE,2252752184,54,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 19:00 / Tuesday From: 06:00 To: 19:00 / Wednesday From: 06:00 To: 19:00 / Thursday From: 06:00 To: 19:00 / Friday From: 06:00 To: 19:00,Demetris Jones,Mary Roberson
50280,Corban Early Childhood Center,37291 Enterprise Ave,Prairieville,ASCENSION,2253134341,194,Type II ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Lesley Corban,Caylee Corban
50282,"Lil Red Wagon of Cenla, LLC",9980 Highway 28,Boyce,RAPIDES,3186123502,77,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Karan Lemoine,
50287,Pine Knoll Learning Center,79225 Highway 40,Covington,ST. TAMMANY,9858937368,50,Type II ,Open,12 M To 10 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Megan Daughdrill,
50289,The LeBlanc Center for Learning,899 W Port St,Abbeville,VERMILION,3378982912,42,Type II ,Open,2 Y To 5 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Holly LeBlanc,
50294,Dennis Mills Learning Academy,77 Dennis Lee Rd,Denham Springs,ST. HELENA,2252438248,19,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 17:00 / Tuesday From: 06:00 To: 17:00 / Wednesday From: 06:00 To: 17:00 / Thursday From: 06:00 To: 17:00 / Friday From: 06:00 To: 17:00,Theresa Lanns,Debra Lee
50295,Our Lady Queen of Heaven Early Childhood Center,3905 Creole Street,Lake Charles,CALCASIEU,3374778438,138,Type III ,Open,6 W To 5 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Meris Courville,Kara Ortego
50296,St. Clement of Rome Early Learning Center,3978 W. Esplanade Avenue,Metairie,JEFFERSON,5048880386,35,Type I ,Open,1 Y To 3 Y,Monday From: 06:45 To: 15:20 / Tuesday From: 06:45 To: 15:20 / Wednesday From: 06:45 To: 15:20 / Thursday From: 06:45 To: 15:20 / Friday From: 06:45 To: 15:20,Kimberly Downes,Tammy Englander
50298,Candyland Kinder Kollege II,6216 6th Ave,Marrero,JEFFERSON,5043288959,93,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Brandi Zeno,Helen Dumas
50299,Busy Bees Academy of Learning,3324 Youree Drive,Shreveport,CADDO,3188652337,31,Type III ,Open,1 Y To 5 Y,Monday From: 07:15 To: 17:30 / Tuesday From: 07:15 To: 17:30 / Wednesday From: 07:15 To: 17:30 / Thursday From: 07:15 To: 17:30 / Friday From: 07:15 To: 17:30,Charli  Beall; Kelli Amos; Megan Fow,Cynthia Guajardo
50301,"Soaring Angels Learning Center, LLC",501 Lapalco Blvd Ste C,Gretna,JEFFERSON,5043942622,80,Type III ,Open,10 W To 13 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Susie Stewart,Meritha DeDeaux; Jamie Haschke
50302,"Eunice Country Day Nursery School, LLC",1248 Saint Mary Rd,Eunice,ST. LANDRY,3374578149,58,Type III ,Open,4 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Samantha Leger,
50303,Pam's Personal Touch Child Care Center,65 Lee St,Franklin,ST.MARY,3379076133,29,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Pamela Jones,
50307,The Montessori School for Shreveport South Campus,2131 Woodberry Ave,Shreveport,CADDO,3187036500,24,Type II ,Open,18 M To 43 M,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Natalie Caraway,
50308,West St. John Head Start,2555 Highway 18,Edgard,ST. JOHN,9854973347,23,Type III ,Open,3 Y To 5 Y,Monday From: 08:00 To: 15:00 / Tuesday From: 08:00 To: 15:00 / Wednesday From: 08:00 To: 15:00 / Thursday From: 08:00 To: 15:00 / Friday From: 08:00 To: 15:00,Chantell Walker,
50336,Alison G. Jones Lee,22571 Oneil Rd,Plaquemine,IBERVILLE,2253152054,6,Family Home ,Open,06 W To 12 Y,Monday From: 07:00 To: 19:00 / Tuesday From: 07:00 To: 19:00 / Wednesday From: 07:00 To: 19:00 / Thursday From: 07:00 To: 19:00 / Friday From: 07:00 To: 19:00,,
50368,Barbara L Hall,602 Ogden Street,Winnfield,WINN,3186287976,6,Family Home ,Open,01 Y To 06 Y,Monday From: 05:00 To: 19:00 / Tuesday From: 05:00 To: 19:00 / Wednesday From: 05:00 To: 19:00 / Thursday From: 05:00 To: 19:00 / Friday From: 05:00 To: 19:00,,
50376,Bessie Mae Rubin,106 Andrea St,Winnsboro,FRANKLIN,3183672733,6,Family Home ,Open,06 W To 12 Y,Monday From: 00:00 To: 23:59 / Tuesday From: 00:00 To: 23:59 / Wednesday From: 00:00 To: 23:59 / Thursday From: 00:00 To: 23:59 / Friday From: 00:00 To: 23:59 / Saturday From: 00:00 To: 23:59 / Sunday From: 00:00 To: 23:59,,
50379,Betty Landix,317 Travis Dr,Avondale,JEFFERSON,5044918173,6,Family Home ,Open,1 M To 12 Y,Monday From: 08:00 To: 18:00 / Tuesday From: 08:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 08:00 To: 18:00 / Friday From: 08:00 To: 18:00,,
50393,SEA 3 Academy,7391 Read Blvd,New Orleans,ORLEANS,5043248515,57,Type III ,Open,6 W To 17 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Ashley Jackson,Ja'Kara Dennis
50398,Cecelia J. Bias,1304 W Hutchinson Ave,Crowley,ACADIA,3373981333,6,Family Home ,Open,00 Y To 12 Y,Monday From: 06:00 To: 06:00 / Tuesday From: 06:00 To: 06:00 / Wednesday From: 06:00 To: 06:00 / Thursday From: 06:00 To: 06:00 / Friday From: 06:00 To: 06:00,,
50399,Celeste Collins Taylor,158 Tes Dr,Choudrant,LINCOLN,3182651408,6,Family Home ,Open,6 W To 4 Y,Monday From: 07:30 To: 18:00 / Tuesday From: 07:30 To: 18:00 / Wednesday From: 07:30 To: 18:00 / Thursday From: 07:30 To: 18:00 / Friday From: 07:30 To: 18:00,,
50428,DEBORAH  DOWLES,317 HARRINGTON,Bastrop,MOREHOUSE,3182816141,6,Family Home ,Open,00 Y To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,,
50447,Donnie Richard,1808 S Grove St,Winnfield,WINN,3186484205,6,Family Home ,Open,1 M To 12 Y,Monday From: 06:00 To: 23:00 / Tuesday From: 06:00 To: 23:00 / Wednesday From: 06:00 To: 23:00 / Thursday From: 06:00 To: 23:00 / Friday From: 06:00 To: 23:00,,
50449,Doris Wilson,131 Oak St,Lake Providence,EAST CARROLL,3185594528,6,Family Home ,Open,6 W To 12 Y,Monday From: 06:00 To: 17:00 / Tuesday From: 06:00 To: 17:00 / Wednesday From: 06:00 To: 17:00 / Thursday From: 06:00 To: 17:00 / Friday From: 06:00 To: 17:00,,
50486,Helen Jane Jordan,1817 9th Ave,Lake Charles,CALCASIEU,3374334565,6,Family Home ,Open,6 W To 12 Y,Monday From: 05:00 To: 21:00 / Tuesday From: 05:00 To: 21:00 / Wednesday From: 05:00 To: 21:00 / Thursday From: 05:00 To: 21:00 / Friday From: 05:00 To: 21:00,,
50497,Jasmaine Donta Davis,191 Tricia Park,Mansura,AVOYELLES,3183050277,6,Family Home ,Open,6 W To 6 Y,Monday From: 06:00 To: 17:00 / Tuesday From: 06:00 To: 17:00 / Wednesday From: 06:00 To: 17:00 / Thursday From: 06:00 To: 17:00 / Friday From: 06:00 To: 17:00,,
50498,Jeanette George Lewis,109 Rimrock Dr,Lafayette,LAFAYETTE,3379932717,6,Family Home ,Open,1 Y To 4 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,,
50499,Jeanette Williams Grinner,2310 Elvin Dr,Baton Rouge,EAST BATON ROUGE,2257718331,6,Family Home ,Open,00 Y To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,,
50504,Jerlean Varice Fowler,1406 Avon Ave,Ruston,LINCOLN,3182513309,6,Family Home ,Open,2 W To 12 Y,Monday From: 06:00 To: 23:00 / Tuesday From: 06:00 To: 23:00 / Wednesday From: 06:00 To: 23:00 / Thursday From: 06:00 To: 23:00 / Friday From: 06:00 To: 23:00,,
50518,Judy Price,2061 E Jeff David Ave,Rayne,ACADIA,3373345354,6,Family Home ,Open,9 Y To 12 Y,Monday From: 06:00 To: 19:00 / Tuesday From: 06:00 To: 19:00 / Wednesday From: 06:00 To: 19:00 / Thursday From: 06:00 To: 19:00 / Friday From: 06:00 To: 19:00,,
50520,Judy Siggers,1021 Hood St,Lake Providence,EAST CARROLL,3185591510,6,Family Home ,Open,00 Y To 12 Y,Monday From: 00:00 To: 23:59 / Tuesday From: 00:00 To: 23:59 / Wednesday From: 00:00 To: 23:59 / Thursday From: 00:00 To: 23:59 / Friday From: 00:00 To: 23:59 / Saturday From: 00:00 To: 23:59 / Sunday From: 00:00 To: 23:59,,
50534,KIMBLE SCOTT WALLACE,3806 N Acadian Thruway,Baton Rouge,EAST BATON ROUGE,2254445054,6,Family Home ,Open,6 W To 10 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,,
50538,Lakeisha Dade,404 Edgewood St,Ruston,LINCOLN,3182781453,5,Family Home ,Open,06 W To 12 Y,Monday From: 08:00 To: 20:00 / Tuesday From: 08:00 To: 20:00 / Wednesday From: 08:00 To: 20:00 / Thursday From: 08:00 To: 20:00 / Friday From: 08:00 To: 20:00,,
50555,Linda Ann Landry,322 Marmont St,Abbeville,VERMILION,3374435930,6,Family Home ,Open,0 Y To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,,
50556,Linda Faye Mills,104 Mills Rd,Jonesville,CONCORDIA,3183399241,6,Family Home ,Open,00 Y To 12 Y,Monday From: 07:00 To: 23:00 / Tuesday From: 15:00 To: 23:00 / Wednesday From: 15:00 To: 23:00 / Thursday From: 15:00 To: 23:00 / Friday From: 15:00 To: 23:00 / Saturday From: 07:00 To: 23:00 / Sunday From: 07:00 To: 23:00,,
50558,Linda M Smith,8447 Huntington Park Dr,New Orleans,ORLEANS,5048729299,6,Family Home ,Open,00 Y To 12 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,,
50560,Lisa G. Journet,920 N Pierce St,Lafayette,LAFAYETTE,3372326174,6,Family Home ,Open,00 Y To 12 Y,Monday From: 05:00 To: 17:00 / Tuesday From: 05:00 To: 17:00 / Wednesday From: 05:00 To: 17:00 / Thursday From: 05:00 To: 17:00 / Friday From: 05:00 To: 17:00,,
50580,St. Peter Chanel School and Daycare,2590 LA Highway 44,Paulina,ST. JAMES,2258696801,68,Type I ,Open,18 M To 3 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Paula Poche,Lauren Roussel
50583,Montessori School of Ruston,700 Woodward Ave,Ruston,LINCOLN,3182511590,44,Type II ,Open,18 M To 3 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Erin Morrow,
50585,Kids of Excellence Learning Center,3301 Higgins Blvd,New Orleans,ORLEANS,5043255623,65,Type III ,Open,6 W To 10 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Kristi Givens; Precious Acker,Cassey Populis; Virginia SANCHEZ-ARQUIETA; Taneka Reddick
50587,Patrick F. Taylor Campus,901 Richard St,New Orleans,ORLEANS,5045236221,120,Type III ,Open,6 W To 3 Y,Monday From: 06:45 To: 17:00 / Tuesday From: 06:45 To: 17:00 / Wednesday From: 06:45 To: 17:00 / Thursday From: 06:45 To: 17:00 / Friday From: 06:45 To: 17:00,Shavonne Hampton,Sharlene Adams
50588,Fun for Life Learning Center LLC,2529 Dreux Ave,New Orleans,ORLEANS,5043736534,38,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,India Manuel,Lauren Taylor
50593,Benjamin Thomas Academy,2010 Peniston St Ste 200,New Orleans,ORLEANS,5045103383,34,Type II ,Open,6 W To 4 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Alicia Winter,
50594,Stepping Stones Children's Learning Academy,9835 Old Hammond Hwy,Baton Rouge,EAST BATON ROUGE,2259602200,17,Type III ,Open,6 W To 13 Y,Monday From: 06:30 To: 23:00 / Tuesday From: 06:30 To: 23:00 / Wednesday From: 06:30 To: 23:00 / Thursday From: 06:30 To: 23:00 / Friday From: 06:30 To: 23:00,Shadaysha Riley,
50596,Little Prince & Princess Academy,35647 Liberty Dr,Slidell,ST. TAMMANY,9857071492,57,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Kiana Alexander,Tremaine  Barthelemy
50598,Rising Starz Early Learning Center,3206 Highway 19,Zachary,EAST BATON ROUGE,2252865570,71,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:45 / Tuesday From: 06:30 To: 17:45 / Wednesday From: 06:30 To: 17:45 / Thursday From: 06:30 To: 17:45 / Friday From: 06:30 To: 17:45,Shamita Collins,Raven  Veal
50600,Christina Learning Center,200 4th St,Duson,LAFAYETTE,3379356160,74,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:45 / Tuesday From: 06:30 To: 17:45 / Wednesday From: 06:30 To: 17:45 / Thursday From: 06:30 To: 17:45 / Friday From: 06:30 To: 17:45,Christina Henry,Jacelyn Rideaux
50601,Little Scholars Learning Center,4402 Ryan Rd,Abbeville,VERMILION,3379186221,103,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Lenita Turner,Maleka Broussard
50603,Carbo's Learning Express,6210 Franklin Ave,New Orleans,ORLEANS,5048271999,25,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Edith Alfred,Margie  Russell
50604,Zion Childcare Learning Center,5801 Canal Street,Shreveport,CADDO,3186313869,106,Type III ,Open,6 W To 13 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Dorothy Blade,
50606,Mid-City Early Learning Center,4302 Canal St,New Orleans,ORLEANS,5044821135,71,Type III ,Open,6 W To 5 Y,Monday From: 07:30 To: 16:30 / Tuesday From: 07:30 To: 16:30 / Wednesday From: 07:30 To: 16:30 / Thursday From: 07:30 To: 16:30 / Friday From: 07:30 To: 16:30,Lisa  Richard,Irma Williams
50611,"1, 2 Buckle My Shoe",1058 Highway 115,Mansura,AVOYELLES,3182400085,49,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Hailey Dufour,Tracy  Daire
50612,Jaylas Learning Center LLC 2,2208 N Sherwood Frst,Baton Rouge,EAST BATON ROUGE,2252736927,33,Type III ,Open,6 W To 14 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Shantell Hayes,Ashley Burton
50618,Many El. School - Many Preschool Center,1501 Natchitoches Hwy,Many,SABINE,3182566143,80,Type III ,Open,2 Y To 4 Y,Monday From: 07:10 To: 15:10 / Tuesday From: 07:10 To: 15:10 / Wednesday From: 07:10 To: 15:10 / Thursday From: 07:10 To: 15:10 / Friday From: 07:10 To: 15:10,Bridget Corley,Sheryl  Lewing; Brittany Founds
50620,"Raynebeau's Learning Center, LLC",404 Gossen Memorial Dr,Rayne,ACADIA,3373340341,74,Type III ,Open,4 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Melissa Davis; Linsey Landreneau,Lauren Credeur
50621,Louisiana Tech University Early Childhood Education Center,401 W Louisiana Ave,Ruston,LINCOLN,3182574614,34,Type III ,Open,3 Y To 4 Y,Monday From: 07:45 To: 17:15 / Tuesday From: 07:45 To: 17:15 / Wednesday From: 07:45 To: 17:15 / Thursday From: 07:45 To: 17:15 / Friday From: 07:45 To: 17:15,Kelsey Moeller,
50623,Building Blocks Early Learning Center,911 Old Covington Hwy,Hammond,TANGIPAHOA,9859567860,70,Type III ,Open,6 W To 8 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Delishia Wilson,
50625,For My Child Learning Center,8 Ross Ln,Alexandria,RAPIDES,3184423185,95,Type III ,Open,6 W To 5 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Wendy Coleman; Danna Johnson; Amanda Rayes,
50626,"Joyful Noises, LLC",560 Highway 1207,Deville,RAPIDES,3184661540,81,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Amber Craig,April McDaniel
50663,Christina's Lil Rascals,485 Main St,Grambling,LINCOLN,3182434188,6,Family Home ,Open,1 Y To 12 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,,
50667,Wanda Kaye Cooks,206 Lafayette St,Ruston,LINCOLN,3182511251,6,Family Home ,Open,6 W To 3 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,,
50668,Savannah Washington,927 W 5th St,Crowley,ACADIA,3377882907,6,Family Home ,Open,00 Y To 12 Y,Monday From: 06:00 To: 06:00 / Tuesday From: 06:00 To: 06:00 / Wednesday From: 06:00 To: 06:00 / Thursday From: 06:00 To: 06:00 / Friday From: 06:00 To: 06:00,,
50673,Patrice Williams,24650 High School St,Plaquemine,IBERVILLE,2256877829,6,Family Home ,Open,00 Y To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00 / Saturday From: 06:00 To: 18:00 / Sunday From: 06:00 To: 18:00,,
50676,MARIE TOLLIVER,2016 COTEAU RODAIRE HWY,Arnaudville,ST. MARTIN,3375015215,6,Family Home ,Open,6 W To 12 Y,Monday From: 04:00 To: 18:30 / Tuesday From: 04:00 To: 18:30 / Wednesday From: 04:00 To: 18:30 / Thursday From: 04:00 To: 18:30 / Friday From: 04:00 To: 18:30 / Saturday From: 13:00 To: 18:30 / Sunday From: 13:00 To: 18:30,,
50685,Virginia Lockhart,707 Millikin St,Lake Providence,EAST CARROLL,3185594035,6,Family Home ,Open,1 Y To 4 Y,Monday From: 06:00 To: 06:15 / Tuesday From: 06:00 To: 06:15 / Wednesday From: 06:00 To: 06:15 / Thursday From: 06:00 To: 06:15 / Friday From: 06:00 To: 06:15,,
50695,Shirley Jenkins Marshall,3204 Dick Taylor St,Monroe,OUACHITA,3183613803,6,Family Home ,Open,00 W To 10 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,,
50701,Shelita Freeman,5715 Dutton Ave,Baton Rouge,EAST BATON ROUGE,2254855592,6,Family Home ,Open,6 W To 4 Y,Monday From: 06:30 To: 17:00 / Tuesday From: 06:30 To: 17:00 / Wednesday From: 06:30 To: 17:00 / Thursday From: 06:30 To: 17:00 / Friday From: 06:30 To: 16:00,,
50712,Patricia Lattier Holmes,809 York St,Shreveport,CADDO,3188693315,6,Family Home ,Open,00 Y To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,,
50731,Teresa Toomer,14119 Old Genessee Rd Trlr 8,Tickfaw,TANGIPAHOA,9856141084,6,Family Home ,Open,06 W To 05 Y,Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00 / Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00,,
50736,Yolanda Davis,413 Wright St,Bastrop,MOREHOUSE,3182816246,6,Family Home ,Open,00 Y To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,YOLANDA DAVIS,
50755,Tracey L Thompson    / DBA Motherly Love Daycare,3619 Paul St,New Orleans,ORLEANS,5043925430,6,Family Home ,Open,00 Y To 12 Y,Monday From: 06:30 To: 23:59 / Tuesday From: 06:30 To: 23:59 / Wednesday From: 06:30 To: 23:59 / Thursday From: 06:30 To: 23:59 / Friday From: 06:30 To: 23:59 / Saturday From: 06:30 To: 23:59 / Sunday From: 06:30 To: 23:59,,
