Type,License #,Name,Address,City,Zip,Phone,Email,Ages Served,Total Capacity,Capacity Under 3,Expiration Date,Legal Operator (LO),Address (LO),City (LO),Zip (LO)
Child Care Center,DCCC.16797,HILL FARM PRESCHOOL,160 HILL FARM ROAD,FAIRFIELD,06824,203-292-9533,hillfarmpreschool@yahoo.com,2 years-6 years,60,8,6/30/26,HILL FARM PRESCHOOL LLC,160 HILL FARM RD,FAIRFIELD,06824-2134
Child Care Center,DCCC.16800,MANCHESTER EARLY LEARNING CENTER @ VERPLANK,126 OLCOTT ST,MANCHESTER,06040-2632,860-647-9659,John@melearning.org,5 years-14 years,150,0,6/30/26,MANCHESTER EARLY LEARNING CENTER INC,80 WADDELL RD,MANCHESTER,06040-4732
Child Care Center,DCCC.16802,WHIZ KIDS DAYCARE,815 PINE ST STE 3,BRISTOL,06010-6957,860-584-8687,whizkidsdaycare1@gmail.com,6 weeks-12 years,187,60,8/31/26,WHIZ KIDS DAYCARE INC,815 PINE ST STE 3,BRISTOL,06010-6957
Child Care Center,DCCC.16806,BEVERLY LEVY EARLY LEARNING CENTER,360 AMITY RD,WOODBRIDGE,06525-2133,203-397-7415,sarahs@jccnh.org,3 months-12 years,176,64,6/30/26,JCC OF GREATER NEW HAVEN INC,360 AMITY ROAD,WOODBRIDGE,06525
Child Care Center,DCCC.16808,ST PAUL'S CHILD DEVELOPMENT CENTER,1475 NOBLE AVE,BRIDGEPORT,06610-1609,203-384-6023,directorspcdc@gmail.com,3 years-5 years,69,0,8/31/26,ST PAUL'S CHILD DEVELOPMENT CENTER INC,1475 NOBLE AVENUE,BRIDGEPORT,06610
Child Care Center,DCCC.16814,BRIGHT START CHILD CARE,1790 MERIDEN RD,WOLCOTT,06716-3320,203-879-2728,brightstartchild@aol.com,6 weeks-12 years,50,40,10/31/26,BRIGHT START CHILD CARE LLC,1790 MERIDEN RD,WOLCOTT,06716-3320
Child Care Center,DCCC.16820,HARTFORD NEIGHBORHOOD CENTERS,38 LAWRENCE ST,HARTFORD,06106-2409,860-251-6517,cora_mercer@hnci.org,18 months-11 years,28,8,11/30/26,HARTFORD NEIGHBORHOOD CENTERS INC,38 LAWRENCE STREET,HARTFORD,06106
Child Care Center,DCCC.16821,MERIDEN YMCA CHILD CARE CTR @ ROGER SHERMAN,64 N PEARL ST,MERIDEN,06450-4419,860-357-2717,sfusco@nbbymca.org,5 years-12 years,80,0,8/31/26,MERIDEN-NEW BRITAIN-BERLIN YMCA INC.,50 HIGH ST,NEW BRITAIN,06051-2206
Child Care Center,DCCC.16828,MAYFLOWER MONTESSORI SCHOOL,1 THAMES RIVER PLACE,NORWICH,06360,860-889-0883,mmsdirector@yahoo.com,6 weeks-6 years,31,12,8/31/26,MAYFLOWER MONTESSORI SCHOOL INC,1 THAMES RIVER PLACE,NORWICH,06360
Child Care Center,DCCC.16829,ALTERINE JOHNSON EARLY LEARNING CENTER @ ALLIANCE FOR COMMUNITY EMPOWERMENT,909 MAIN ST,STRATFORD,06615-7408,203-386-9040,bperry@alliancect.org,6 weeks-5 years,69,16,8/31/26,ALLIANCE FOR COMMUNITY EMPOWERMENT INC.,1070 PARK AVENUE,BRIDGEPORT,06604
Child Care Center,DCCC.16832,SEE US GROW CHILDCARE & LEARNING CENTER - WALLINGFORD,1052 S COLONY RD,WALLINGFORD,06492-5264,203-269-5437,seeusgrow@yahoo.com,6 weeks-12 years,95,44,9/30/26,SEE US GROW CHILDCARE & LEARNING CTR LLC,1052 SOUTH COLONY ROAD,WALLINGFORD,06492
Child Care Center,DCCC.16834,CARELOT CHILDREN'S CENTER-CLUBHOUSE GN,165 GREAT NECK RD,WATERFORD,06385-3739,860-367-2308,clubhouse@carelot.net,5 years-12 years,57,0,10/31/26,CARELOT CHILDREN'S CENTER INC,315 FLANDERS ROAD,EAST LYME,06333
Child Care Center,DCCC.16835,DONNA'S LITTLE DOVES CHILD DEVELOPMENT CENTER,215 WARREN ST,BRIDGEPORT,06604-5460,203-394-9997,littledoves15.dh@gmail.com,6 weeks-12 years,67,32,9/30/26,DONNA'S LITTLE DOVES CDC LLC,53 BUTLER AVENUE,BRIDGEPORT,06605
Child Care Center,DCCC.16836,LITTLE LEARNERS,130 GALLUP HILL RD,LEDYARD,06339-1827,860-572-4411,debbie@littlelearnerscc.com,6 weeks-12 years,44,24,2/28/27,CREATING OPPORTUNITIES FOR YOUTH LLC,18 OAKWOOD ROAD,NIANTIC,06357
Child Care Center,DCCC.16843,LOVEABLE ANGELS CHILDCARE LEARNING CENTER,1825 E MAIN ST,BRIDGEPORT,06610-2001,203-337-6614,lovableangels1825@yahoo.com,3 years-5 years,44,0,10/31/26,LOVEABLE ANGELS CHILDCARE LEARNING CENTER LLC,45 PLANETREE ROAD,STRATFORD,06614
Child Care Center,DCCC.16844,THE SMART START PRESCHOOL & LEARNING CENTER,4133 WHITNEY AVE,HAMDEN,06518-1432,203-660-7158,thesmartstartpreschool@gmail.com,6 weeks-12 years,52,24,9/30/26,THE SMART START PRESCHOOL & LEARNING CENTER LLC,43 RIDGEWOOD ROAD,WALLINGFORD,06492
Child Care Center,DCCC.16845,OGRCC NORTH MIANUS SCHOOL CHILD CARE PROGRAM,309 PALMER HILL RD,RIVERSIDE,06878-1011,203-698-9370,Suellenclarke@gmail.com,5 years-12 years,101,0,3/31/27,OLD GREENWICH RIVERSIDE COMMUNITY CENTER INC,48 Maple Avenue,Greenwich,06830
Child Care Center,DCCC.16847,FRIENDS CENTER FOR CHILDREN - GRAND AVENUE,227 E GRAND AVE,NEW HAVEN,06513-4102,203-468-1966,Mjohnson@friendscenterforchildren.org,6 weeks-7 years,102,40,12/31/26,FRIENDS CENTER FOR CHILDREN INC,227 E GRAND AVE,NEW HAVEN,06513-4102
Child Care Center,DCCC.16850,BRIGHT BEGINNINGS CHILDCARE CENTER,980 ENFIELD ST,ENFIELD,06082-3654,860-745-2632,Melissatetro@yahoo.com,6 weeks-12 years,65,32,5/31/27,BRIGHT BEGINNINGS CORP,16 JOSEPH FARMS ROAD,BROAD BROOK,06016
Child Care Center,DCCC.16851,HONEY TREE PRESCHOOL & CHILDCARE OF WILTON,992 DANBURY RD,WILTON,06897-4808,203-544-7575,sue@honeytreepreschool.com,6 weeks-6 years,78,40,6/30/27,KATEJA CORPORATION,992 DANBURY ROAD,WILTON,06897
Child Care Center,DCCC.16859,CARVER PRESCHOOL,7 N TURNPIKE RD,WALLINGFORD,06492-3033,203-626-9265,Danielle.kremzar@carverct.org,6 weeks-12 years,51,30,3/31/27,NEW LIFE CHURCH,254 BEE STREET,MERIDEN,06450
Child Care Center,DCCC.16860,ST STANISLAUS SCHOOL READINESS,81 AKRON ST,MERIDEN,06450-5716,203-238-0845,jsuarez@ccaoh.org,3 years-5 years,71,0,5/31/27,CATHOLIC CHARITIES INC ARCHDIOCESE OF HTFD,839-841 ASYLUM AVENUE,HARTFORD,06105
Child Care Center,DCCC.16864,MERIDEN YMCA  HEAD START,398 LIBERTY ST,MERIDEN,06450-4529,203-238-9166,ccattel@meridenymca.org,3 years-5 years,124,0,4/30/27,MERIDEN-NEW BRITAIN-BERLIN YMCA INC.,50 HIGH ST,NEW BRITAIN,06051-2206
Child Care Center,DCCC.16870,BEEHIVE CHILDRENS CENTER NM,278 DANBURY RD,NEW MILFORD,06776-4300,860-355-8534,admin@beehivechildrenscenter.com,6 weeks-13 years,124,45,6/30/27,BEEHIVE CHILDRENS CENTER LM LLC,278 DANBURY ROAD,NEW MILFORD,06776
Child Care Center,DCCC.70002,NORTHFORD PRESCHOOL ACADEMY,1355 MIDDLETOWN AVE,NORTHFORD,06472-1382,203-208-1306,northfordpreschoolacademy@gmail.com,2 years-8 years,27,10,8/31/27,NORTHFORD PRESCHOOL ACADEMY LLP,41 NIDA DR,NORTHFORD,06472-1314
Child Care Center,DCCC.70004,MANCHESTER EARLY LEARNING CENTER- MIDDLE TPKE W,579 MIDDLE TPKE W,MANCHESTER,06040-2728,860-647-9659,john@melearning.org,3 years-15 years,194,0,8/31/27,MANCHESTER EARLY LEARNING CENTER INC,80 WADDELL RD,MANCHESTER,06040-4732
Child Care Center,DCCC.70006,MANCHESTER EARLY LEARNING CENTER- VERNON ST,250 VERNON ST,MANCHESTER,06042-3473,860-647-9659,john@melearning.org,5 years-12 years,221,0,8/31/27,MANCHESTER EARLY LEARNING CENTER INC,80 WADDELL RD,MANCHESTER,06040-4732
Child Care Center,DCCC.70009,MANCHESTER EARLY LEARNING CENTER-,141 PRINCETON ST,MANCHESTER,06042-3272,860-647-9659,john@melearning.org,5 years-12 years,190,0,8/31/27,MANCHESTER EARLY LEARNING CENTER INC,80 WADDELL RD,MANCHESTER,06040-4732
Child Care Center,DCCC.70010,MERIDEN YMCA B/A SCHOOL AT ISRAEL PUTNAM,133 PARKER AVE,MERIDEN,06450-5925,203-514-9755,sfusco@nbbymca.org,5 years-10 years,58,0,8/31/27,MERIDEN-NEW BRITAIN-BERLIN YMCA INC.,50 HIGH ST,NEW BRITAIN,06051-2206
Child Care Center,DCCC.70011,MERIDEN YMCA B/A SCHOOL AT THOMAS HOOKER,70 OVERLOOK RD,MERIDEN,06450-6935,203-514-9755,sfusco@nbbymca.org,5 years-12 years,52,0,8/31/27,MERIDEN-NEW BRITAIN-BERLIN YMCA INC.,50 HIGH ST,NEW BRITAIN,06051-2206
Child Care Center,DCCC.70012,SOUNDVIEW FAMILY YMCA SACC,628 E MAIN ST,BRANFORD,06405-2907,203-481-9622,lwheeler@cccymca.org,5 years-14 years,46,0,8/31/27,CENTRAL CONNECTICUT COAST YMCA,1240 CHAPEL STREET,NEW HAVEN,06511
Child Care Center,DCCC.70013,ESPN KIDS CENTER,205 ENTERPRISE DR,BRISTOL,06010-8402,860-582-4300,espn@brighthorizons.com,6 weeks-12 years,342,112,8/31/27,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,2 WELLS AVE,NEWTON CENTER,02459-3225
Child Care Center,DCCC.70014,KORDAS KORNER PRESCHOOL,9 COVEY RD,BURLINGTON,06013-1720,860-673-4944,Sheila@kordaskorner.com,3 years-12 years,88,0,8/31/27,KORDAS KORNER LLC,56 TOWN LINE ROAD,BURLINGTON,06013
Child Care Center,DCCC.70017,ERFC AFTER SCHOOL-AGE CARE CENTER @ JFK,155 RAFFIA RD,ENFIELD,06082-5691,860-253-9935,Jchase@erfc.us,11 years-13 years,150,0,9/30/27,EDUCATIONAL RESOURCES FOR CHILDREN INC,50 POST OFFICE RD,ENFIELD,06082
Child Care Center,DCCC.70018,ERFC AFTERSCHOOL-AGE CARE CENTER @ ENFIELD STREET SCHOOL,1318 ENFIELD ST,ENFIELD,06082-4942,860-253-9935,erfclicense@erfc.us,5 years-10 years,125,0,9/30/27,EDUCATIONAL RESOURCES FOR CHILDREN INC,50 POST OFFICE RD,ENFIELD,06082
Child Care Center,DCCC.70019,EFRC AFTER SCHOOL-AGE CARE CENTER @ HENRY BARNARD SCHOOL,27 SHAKER RD,ENFIELD,06082-3100,860-253-9935,Tgosselin@erfc.us,5 years-10 years,100,0,9/30/27,EDUCATIONAL RESOURCES FOR CHILDREN INC,50 POST OFFICE RD,ENFIELD,06082
Child Care Center,DCCC.70021,KILLINGLY HEAD START AT KILLINGLY HIGH SCHOOL,226 PUTNAM PIKE,DAYVILLE,06241-1629,860-455-1587,CDaigneau@eastconn.org,3 years-5 years,16,0,9/30/27,EASTCONN,376 HARTFORD TURNPIKE,HAMPTON,06247
Child Care Center,DCCC.70024,KINGS CHAPEL EARLY CARE & EDUCATION CTR,400 WOODLAND ST,HARTFORD,06112-2149,860-560-0387,tgraham@kingschapeleducation.com,6 weeks-12 years,52,32,9/30/27,KING'S CHAPEL EARLY CARE AND EDUCATION CENTER INC.,400 WOODLAND ST,HARTFORD,06112-2149
Child Care Center,DCCC.70026,BRIGHT BEGINNINGS EARLY CHILDHOOD PROGRAM - STAMFORD,430 HIGH RIDGE RD,STAMFORD,06905-3020,203-595-5500,stamford@bbecp.com,6 weeks-5 years,79,60,9/30/27,BRIGHT BEGINNINGS EARLY CHILDHOOD PROGRAM INC,430 HIGH RIDGE RD,STAMFORD,06905-3020
Child Care Center,DCCC.70027,POLLYWOGS CHILD DEVELOPMENT CENTER,411C NORWICH WESTERLY RD,NORTH STONINGTON,06359-1516,860-535-1174,tmay482@att.net,6 weeks-12 years,82,26,9/30/27,TIA MAY MC CALL INC,66 COAL PIT HILL ROAD,GRISWOLD,06351
Child Care Center,DCCC.70029,MARIAN HEIGHTS EARLY LEARNING ACADEMY,314 OSGOOD AVE,NEW BRITAIN,06053-2701,860-348-2215,agriswold@hranbct.org,3 years-5 years,36,0,9/30/27,HUMAN RESOURCES AGENCY OF NEW BRITAIN INC,180 CLINTON STREET,NEW BRITAIN,06053
Child Care Center,DCCC.70035,GREATER WATERBURY YMCA AT GILMARTIN SCHOOL,94 SPRING LAKE RD,WATERBURY,06706-2731,203-754-9622,kjones@waterburyymca.org,5 years-12 years,20,0,10/31/27,WATERBURY YMCA ASSOCIATION,136 W MAIN ST,WATERBURY,06702-2005
Child Care Center,DCCC.70037,GINGERBREAD KIDS,61 RIVER ST,MILFORD,06460-3315,203-877-0575,Katina@mygbhouse.com,6 weeks-5 years,34,16,11/30/27,GINGERBREAD KIDS LLC,61 RIVER ST,MILFORD,06460-3315
Child Care Center,DCCC.70043,MERIDEN YMCA LIL RASCALS,43 SWAIN AVE,MERIDEN,06450-7215,203-630-0039,hvolpe@meridenymca.org,6 weeks-5 years,77,52,1/31/28,MERIDEN-NEW BRITAIN-BERLIN YMCA INC.,50 HIGH ST,NEW BRITAIN,06051-2206
Child Care Center,DCCC.70044,REDWING POND HOUSE PRESCHOOL,21 MILAN ST,ANSONIA,06401-2633,203-734-7974,jackie@rwphpreschool.org,3 years-5 years,27,0,1/31/28,FRIENDS OF THE ANSONIA NATURE CENTER,10 DEERFIELD LN,ANSONIA,06401-2630
Child Care Center,DCCC.70045,SAFE AND SOUND DAYCARE 2,8 SCRIBNER AVE,NORWALK,06854-2538,203-642-3747,Dmendence35@gmail.com,6 weeks-5 years,30,19,2/29/28,DANIELLE MENDENCE,8 SCRIBNER AVENUE,NORWALK,06854
Child Care Center,DCCC.70048,ABC LEARN WITH ME,172 CEDAR ST,BRANFORD,06405-6011,203-488-1506,rh4961@hotmail.com,6 weeks-12 years,110,56,3/31/28,ABC LEARN WITH ME INC,172 CEDAR ST,BRANFORD,06405-6011
Child Care Center,DCCC.70050,PRECIOUS MEMORIES EARLY CHILDHOOD LEARNING CENTER III,1332 NORTH AVE,BRIDGEPORT,06604-2672,203-330-9131,mhelms@pmelc.org,6 weeks-5 years,55,28,4/30/28,PRECIOUS MEMORIES CHILDCARE CENTER LLC,1332 NORTH AVE,BRIDGEPORT,06604-2672
Child Care Center,DCCC.70051,BUILDING BLOCKS EARLY LEARNING CENTER - WILTON,59 DANBURY RD,WILTON,06897-4405,203-919-6317,wwhittingham@blockslearning.com,6 weeks-12 years,135,64,4/30/28,BUILDING BLOCKS EARLY LEARNING CENTER LLC,59 DANBURY RD,WILTON,06897-4405
Child Care Center,DCCC.70053,BUNNY VILLAGE CHILD CARE AND DEVELOPMENT CENTER,215 BRIDGEPORT AVE,SHELTON,06484-3283,203-924-2737,Melissa.swan@bunnyvillage.com,6 weeks-12 years,79,40,4/30/28,BUNNY VILLAGE CHILD CARE AND DEVELOPMENT CENTER LLC,215 BRIDGEPORT AVE,SHELTON,06484-3283
Child Care Center,DCCC.70061,EDGEWOOD ACADEMY,18 EDGEWOOD AVE,STAMFORD,06907,203-921-6304,info@edgewoodacademy.net,6 weeks-5 years,28,28,6/30/28,EDGEWOOD ACADEMY LLC,18 EDGEWOOD AVE,STAMFORD,06907-2608
Child Care Center,DCCC.70062,WATERTOWN LITTLE PEOPLE,680 MAIN ST,WATERTOWN,06795-2655,860-274-6288,ragriffin1@optimum.net,6 weeks-12 years,72,32,7/31/28,WATERTOWN LITTLE PEOPLE LLC,680 MAIN ST,WATERTOWN,06795-2655
Child Care Center,DCCC.70064,SCHOOL DAYS,3115 RESERVOIR AVE,TRUMBULL,06611-4506,203-261-2594,trumbullpreschool@yahoo.com,3 years-5 years,82,0,7/31/28,SCHOOL DAYS LLC,72 HEATHER RD,MONROE,06468-2717
Child Care Center,DCCC.70066,BRIGHTPATH - AVON BLDNG 19,124 SIMSBURY RD BLDG 19,AVON,06001-3743,860-409-7051,kdehm@brightpathkids.com,6 weeks-3 years,64,64,7/31/28,EDUCATIONAL PLAY CARE LTD,555 DAY HILL RD,WINDSOR,06095-1795
Child Care Center,DCCC.70067,CP KIDS EARLY LEARNING CENTER,1 BLACHLEY RD,STAMFORD,06902-0002,203-989-1900,MKondub@chelseapiers.com,3 months-11 years,118,40,8/31/28,CHELSEA PIERS CONNECTICUT LLC,1 BLACHLEY RD,STAMFORD,06902-0001
Child Care Center,DCCC.70069,LITTLE PANTHERS PRESCHOOL - COE AVE,220 COE AVE,MERIDEN,06451-3812,203-235-8906,MDiPasquale@meridenymca.org,3 years-5 years,26,0,8/31/28,MERIDEN YMCA INC,110 W MAIN ST,MERIDEN,06451-4142
Child Care Center,DCCC.70070,LITTLE SPARTANS PRESCHOOL - GRAVEL ST,121 GRAVEL ST,MERIDEN,06450-4611,203-379-2599,ccattel@meridenymca.org,3 years-5 years,28,0,8/31/28,MERIDEN YMCA INC,110 W MAIN ST,MERIDEN,06451-4142
Child Care Center,DCCC.70072,BRIGHT & EARLY CHILDREN'S LEARNING CENTERS II,274 BRANFORD RD,NORTH BRANFORD,06471-1303,203-483-9000,kathy@brightandearly.com,6 weeks-12 years,121,56,8/31/28,SMART EARLY NORTH BRANFORD CT LLC,274 BRANFORD RD,NORTH BRANFORD,06471-1303
Child Care Center,DCCC.70075,SPARK - HOP BROOK,75 CROWN ST,NAUGATUCK,06770-2814,203-841-8979,susieg63@sbcglobal.net,5 years-14 years,60,0,8/31/28,SPARK LLC,143 SPENCER ST,NAUGATUCK,06770-4526
Child Care Center,DCCC.70077,MERCY LEARNING CENTER EARLY CHILDHOOD EDUCATION PROGRAM,637 PARK AVE,BRIDGEPORT,06604-4611,203-334-6699,Maria.moreno@Mercylearningcenter.org,6 weeks-5 years,60,40,8/31/28,MERCY LEARNING CENTER OF BRIDGEPORT INC.,637 PARK AVE,BRIDGEPORT,06604-4611
Child Care Center,DCCC.70080,ERFC BEFORE & AFTERSCHOOL-AGE CARE @ ELI WHITNEY SCHOOL,94 MIDDLE RD,ENFIELD,06082-4594,860-253-9935,erfclicense@erfc.us,5 years-10 years,100,0,8/31/28,EDUCATIONAL RESOURCES FOR CHILDREN INC.,50 POST OFFICE RD,ENFIELD,06082-5626
Child Care Center,DCCC.70081,ERFC BEFORE & AFTER SCHOOL-AGE CARE CENTER @ HAZARDVILLE MEMORIAL,68 N MAPLE ST,ENFIELD,06082-3904,860-253-9935,erfclicense@erfc.us,5 years-10 years,123,0,8/31/28,EDUCATIONAL RESOURCES FOR CHILDREN INC.,50 POST OFFICE RD,ENFIELD,06082-5626
Child Care Center,DCCC.70090,BRIGHTPATH-WALLINGFORD,15 N PLAINS INDUSTRIAL RD,WALLINGFORD,06492-5841,203-265-0055,karmeno@brightpathkids.com,6 weeks-12 years,194,92,9/30/28,EDUCATIONAL PLAY CARE LTD,555 DAY HILL RD,WINDSOR,06095-1795
Child Care Center,DCCC.70093,STEPPING STONES EARLY LEARNING LAB SCHOOL,303 WEST AVE,NORWALK,06850-4002,203-899-0606,adeli@steppingstonesmuseum.org,2 years-5 years,30,10,11/30/28,STEPPING STONES MUSEUM FOR CHILDREN,303 WEST AVE,NORWALK,06850-4002
Child Care Center,DCCC.70095,THE LITTLE VILLAGE PRESCHOOL,20 PLAINS RD,MOODUS,06469-1124,860-891-8450,natthay@comcast.net,6 weeks-12 years,49,20,1/31/29,THE LITTLE VILLAGE PRESCHOOL LLC,116 HEMLOCK VALLEY RD,EAST HADDAM,06423
Child Care Center,DCCC.70097,YMCA CHILD CARE PROGRAM @ ELI WHITNEY,1130 HUNTINGTON RD,STRATFORD,06614-2738,203-375-5844,mbernardo@cccymca.org,5 years-12 years,71,0,1/31/29,CENTRAL CONNECTICUT COAST YMCA,3045 MAIN ST,STRATFORD,06614-4977
Child Care Center,DCCC.70098,YMCA CHILD CARE PROGRAM @ CHAPEL SCHOOL,380 CHAPEL ST,STRATFORD,06614-1690,203-375-5844,mbernardo@cccymca.org,5 years-13 years,66,0,1/31/29,CENTRAL CONNECTICUT COAST YMCA,3045 MAIN ST,STRATFORD,06614-4977
Child Care Center,DCCC.70099,YMCA CHILD CARE PROG @ WILCOXSON SCHOOL,600 WILCOXSON AVE,STRATFORD,06614-4238,203-375-5844,mbernardo@cccymca.org,5 years-13 years,44,0,1/31/29,CENTRAL CONNECTICUT COAST YMCA,3045 MAIN ST,STRATFORD,06614-4977
Child Care Center,DCCC.70102,KIDS IN ACTION,215 PICKETT DISTRICT RD,NEW MILFORD,06776-4414,860-350-3311,jen@kidsinactionllc.com,6 weeks-12 years,95,44,12/31/28,KIDS IN ACTION LLC,215 PICKETT DISTRICT RD,NEW MILFORD,06776-4414
Child Care Center,DCCC.70103,TOTAL LEARNING CENTER,500 PEQUONNOCK ST,BRIDGEPORT,06604-2612,203-333-5778,integrityfirst8491@gmail.com,6 weeks-12 years,34,9,2/28/29,HOUSE OF GOD OUTREACH & DELIVERANCE MINISTRIES,500 PEQUONNOCK ST,BRIDGEPORT,06604-2612
Child Care Center,DCCC.70104,SEE US GROW CHILDCARE & LEARNING CENTER - BRANFORD,221 W MAIN ST,BRANFORD,06405-4088,203-488-5437,seeusgrow@yahoo.com,6 weeks-12 years,118,48,2/28/29,SEE US GROW CHILDCARE & LEARNING CENTER LLC,1052 S COLONY RD,WALLINGFORD,06492-5264
Child Care Center,DCCC.70107,CHEYENNE'S EARLY LEARNING CENTER,4600 MAIN ST,BRIDGEPORT,06606-1839,203-380-2967,cheycare@hotmail.com,6 weeks-12 years,133,51,3/31/29,CHEYENNE'S EARLY LEARNING CENTER LLC,2189 BARNUM AVE,STRATFORD,06615-5516
Child Care Center,DCCC.70112,NORFOLK EARLY LEARNING CENTER,122 LAUREL WAY,NORFOLK,06058-1180,860-542-6016,littlefoxes122@att.net,6 weeks-12 years,32,8,5/31/25,NORFOLK EARLY LEARNING CENTER LLC,122 LAUREL WAY,NORFOLK,06058
Child Care Center,DCCC.70115,TENDER YEARS TOO! CHILD DEVELOPMENT CENTER,41 POVERTY RD,SOUTHBURY,06488-2261,203-262-6426,tenderyearstoo@att.net,6 weeks-12 years,85,44,7/31/25,TP & KH LLC,44 POPE RD,OXFORD,06478-1001
Child Care Center,DCCC.70116,CREATIVE MINDS EARLY CHILDHOOD CENTER,234 GREENFIELD ST,FAIRFIELD,06825-4470,203-330-0790,creativeminds17@yahoo.com,6 weeks-10 years,48,24,7/31/25,CREATIVE MINDS EARLY CHILDHOOD CENTER LLC,49 DEERFIELD ST,FAIRFIELD,06825
Child Care Center,DCCC.70119,PHELPS INGERSOLL CTR FOR CHILDREN @ MCDONOUGH,66 SPRING ST,MIDDLETOWN,06457-2262,860-347-8553,khurlbert@midymca.org,3 years-5 years,16,0,8/31/25,YMCA OF NORTHERN MIDDLESEX COUNTY INC.,99 UNION ST,MIDDLETOWN,06457-3427
Child Care Center,DCCC.70121,GREATER WATERBURY YMCA AT TINKER SCHOOL,809 HIGHLAND AVE,WATERBURY,06708-4601,203-754-9622,Sarline@waterburyymca.org,5 years-12 years,68,0,8/31/25,WATERBURY YMCA ASSOCIATION,136 W MAIN ST,WATERBURY,06702-2005
Child Care Center,DCCC.70125,FIRST STEP LEARNING CENTER,120 NORWICH NEW LONDON TPKE,UNCASVILLE,06382-2510,860-848-0766,wetwobunnies@aol.com,6 weeks-12 years,42,16,8/31/25,H AND C LLC,120 ROUTE 32,UNCASVILLE,06382
Child Care Center,DCCC.70126,YMCA ROARING BROOK SACD,30 OLD WHEELER LN,AVON,06001-4061,860-944-4783,amanda.fox@ghymca.org,5 years-12 years,40,0,8/31/25,YMCA OF METROPOLITAN HARTFORD INC,50 STATE HOUSE SQ,HARTFORD,06103-3902
Child Care Center,DCCC.70127,DISCOVERY ZONE LEARNING CENTER,45 PENDLETON DR,HEBRON,06248-1525,860-228-3952,robin@dzlckids.org,6 weeks-12 years,62,32,8/31/25,LITTLE PEOPLE UNLIMITED INC.,45 PENDLETON DR,HEBRON,06248-1525
Child Care Center,DCCC.70130,INTERNATIONAL PRESCHOOL AT THE ENCHANTED GARDEN,165 DANBURY RD,RIDGEFIELD,06877-3213,203-431-3350,judyegstudios@gmail.com,3 years-5 years,16,0,8/31/25,THE ENCHANTED GARDEN LLC,165 DANBURY RD,RIDGEFIELD,06877-3213
Child Care Center,DCCC.70133,SOUTHERN CT HEBREW ACADEMY PRESCHOOL,261 DERBY AVE,ORANGE,06477-1319,203-795-5261,rkaplan@schacademy.org,6 weeks-5 years,89,48,9/30/25,NEW HAVEN HEBREW DAY SCHOOL INC.,261 DERBY AVE,ORANGE,06477-1319
Child Care Center,DCCC.70134,LIGHTHOUSE CHILDCARE CENTER,1333 THOMASTON AVE,WATERBURY,06704-1714,203-575-1385,daycare@houseofprayer.org,6 weeks-5 years,78,56,9/30/25,HOUSE OF PRAYER CHURCH INC,1263 THOMASTON AVE,WATERBURY,06704-1714
Child Care Center,DCCC.70135,TWIN LAKE CHILDREN'S CENTER - ARDSLEY AVENUE,5 ARDSLEY AVE,NORTHFORD,06472-1354,203-484-6700,carol8615@sbcglobal.net,6 weeks-3 years,38,38,9/30/25,TWIN LAKE CHILDREN'S CENTER INC.,5 ARDSLEY AVE,NORTHFORD,06472
Child Care Center,DCCC.70139,CREATIVE STARTS LEARNING CENTER,2189 BARNUM AVE,STRATFORD,06615-5566,203-612-7717,marta@creativestartslc.com,6 weeks-12 years,45,26,9/30/25,BARNUM LEARNING CENTER LLC,2189 BARNUM AVE,STRATFORD,06615-5516
Child Care Center,DCCC.70142,THE GODDARD SCHOOL - FARMINGTON,6 BRIDGEWATER RD,FARMINGTON,06032-2256,860-674-4323,farmingtonct@goddardschools.com,6 weeks-7 years,158,86,10/31/25,SMART KIDZ ENTERPRISES LLC,6 BRIDGEWATER RD,FARMINGTON,06032-2256
Child Care Center,DCCC.70144,THE GODDARD SCHOOL - DANBURY,39 OLD RIDGEBURY RD,DANBURY,06810-5103,203-628-2000,danburyct@goddardschools.com,6 weeks-12 years,147,67,10/31/25,ANDAIL II,39 OLD RIDGEBURY RD,DANBURY,06810-5103
Child Care Center,DCCC.70147,CREATIVE M.E.,446A BLAKE ST,NEW HAVEN,06515-4437,203-859-2804,creativemellc@yahoo.com,6 weeks-12 years,80,40,11/30/25,ELLIS MICHELE,295 BELLEVUE RD,NEW HAVEN,06511-1676
Child Care Center,DCCC.70153,BRIGHT HORIZONS AT FAIRFIELD,682 COMMERCE DR,FAIRFIELD,06825-5519,203-384-4951,fairfield@brighthorizons.com,6 weeks-12 years,124,64,11/30/25,BRIGHT HORIZONS CHILDREN'S CENTERS,682 COMMERCE DR,FAIRFIELD,06825-5519
Child Care Center,DCCC.70157,BOYS & GIRLS CLUBS OF HARTFORD EARLY LEARNING CENTER,170 SIGOURNEY ST,HARTFORD,06105-1908,860-929-7675,csanders@bgchartford.org,3 years-6 years,50,0,12/31/25,BOYS & GIRLS CLUBS OF HARTFORD INC,170 SIGOURNEY ST,HARTFORD,06105-1908
Child Care Center,DCCC.70158,FIRST STEP CHILD CARE & LEARNING CTR,95 HAMILTON ST,NEW HAVEN,06511-5917,203-889-1307,directorfslc@outlook.com,6 weeks-13 years,148,70,1/31/26,FIRST STEP CHILD CARE & LEARNING CTR INC,95 HAMILTON ST,NEW HAVEN,06511-5917
