Facility Number,Facility Name,Facility Type,Better Beginnings,Address,County,Director,Owner,Phone,Email Address,Website Address,Total Allowed Capacity,Voucher Participant,CACFP Facility,ABC Facility
28741,"KIDS PLACE LEARNING CENTER, INC. DBA KIDSPOT",Early Intervention Day Treatment (EIDT),Level 2,"321 SW 3rd St, Walnut Ridge, AR, 72476-2308",Lawrence,Sherry Hart,"KIDS PLACE LEARNING CENTER, INC",(870) 637-5903,s.tucker@kidspotnea.com,,57,TRUE,TRUE,FALSE
28528,Kid Success LLC dba Pediatrics Plus Developmental Preschool,Early Intervention Day Treatment (EIDT),Level 2,"1900 Aldersgate Road, Little Rock, AR, 72205",Pulaski,Jessica Myers,KIDS SUCCESS INC PEDIATRICS PLUS DEV PRESCHOOL,(501) 821-5459,dhscompliance@pediatricsplus.com,,199,TRUE,TRUE,FALSE
28298,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES DBA KIDS FIRST LITTLE ROCK,Early Intervention Day Treatment (EIDT),Level 2,"333 Executive Ct, Little Rock, AR, 72205-4550",Pulaski,Robyn Wessels,UAMS DEPARTMENT OF PEDIATRICS,(501) 526-8770,jivy@uams.edu,uams.edu,155,FALSE,TRUE,FALSE
27994,Grow Learning Center,Early Intervention Day Treatment (EIDT),Level 2,"5 Remington Cove, Little Rock, AR, 72204-8274",Pulaski,William (Bill) Sims,JLM Ventures Inc.,(501) 850-8788,sandra.farr@growlearningcentre.com,www.growlearningcentre.com,205,TRUE,TRUE,FALSE
27854,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES DBA KIDS FIRST MORRILTON,Early Intervention Day Treatment (EIDT),Level 2,"411 Lentz Dr, Morrilton, AR, 72110-3740",Conway,Margie Fillinger,UAMS DEPARTMENT OF PEDIATRICS,(501) 354-1170,mlfillinger@uams.edu,uams.edu,92,FALSE,TRUE,FALSE
27832,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES DBA KIDS FIRST MOUNTAIN VIEW,Early Intervention Day Treatment (EIDT),Level 2,"1810 OZARKA COLLEGE DRIVE, Mountain View, AR, 72560-6455",Stone,Daniel Cates,UAMS DEPARTMENT OF PEDIATRICS,(870) 269-2110,egarmour@uams.edu,,88,FALSE,TRUE,FALSE
27742,"MISSISSIPPI COUNTY CHILD DEVELOPMENT CENTER INC,",Early Intervention Day Treatment (EIDT),Level 2,"315 E UNIOnN AVE, OSCEOLA, AR, 72370",Mississippi,Tosha DeBose,Mississippi County Child Development Center Inc.,(870) 563-1331,britt.speer@mccdcosceola.com,,203,TRUE,TRUE,FALSE
27678,KIDSPIRATION PEDIATRIC THERAPY SERVICES INC,Early Intervention Day Treatment (EIDT),Level 2,"1310 Bradley Dr, Mountain Home, AR, 72653",Baxter,Leah Coleman,Kidspiration Pediatric Therapy Services,(870) 424-4021,leahcoleman@kidsmh.com,,125,FALSE,TRUE,FALSE
26860,KIDS FOR THE FUTURE OF MARIANNA,Early Intervention Day Treatment (EIDT),Level 2,"401 W MAIN ST, MARIANNA, AR, 72360",Lee,"Elizabeth ""Bess"" Ginty",KIDS FOR THE FUTURE OF MARIANNA INC,(870) 295-5280,jobs@kidsforthefuture.com,,144,FALSE,TRUE,FALSE
26859,KIDS FOR THE FUTURE OF FORREST CITY,Early Intervention Day Treatment (EIDT),Level 2,"3998 HIGHWAY 1 N, FORREST CITY, AR, 72335",St. Francis,"Elizabeth ""Bess"" Ginty",KIDS FOR THE FUTURE OF FORREST CITY INC,(870) 633-1737,jobs@kidsforthefuture.com,,299,FALSE,TRUE,FALSE
26858,KIDS FOR THE FUTURE OF HELENA INC,Early Intervention Day Treatment (EIDT),Level 2,"515 MCDONOUGH ST, HELENA, AR, 72342",Phillips,Bess Ginty,"KIDS FOR THE FUTURE OF HELENA, INC.",(870) 338-8106,jobs@kidsforthefuture.com,,84,FALSE,FALSE,FALSE
26842,MIRACLE KIDS SUCCESS ACADEMY INC,Early Intervention Day Treatment (EIDT),Level 2,"1900 Stillwater Dr, Jonesboro, AR, 72404-9119",Craighead,Courtney Sloan,MIRACLE KIDS SUCESS ACADEMY,(870) 932-3600,shellykeller@mymiraclekids.com,,133,FALSE,TRUE,FALSE
26783,York W. Williams Jr. Child Development Center,Early Intervention Day Treatment (EIDT),Level 2,"519 Speedway, Dermott, AR, 71638",Chicot,Hagit Gregory,YORK W WILLIAMS JR CHILD DEVELOPMENT CENTER INC,(870) 538-3043,hgregory@yorkwilliamscdc.com,,154,TRUE,TRUE,FALSE
26554,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES DBA KIDS FIRST POCAHONTAS,Early Intervention Day Treatment (EIDT),Level 2,"410 Camp Rd, Pocahontas, AR, 72455-1487",Randolph,Rhonda Pattillo,UAMS DEPARTMENT OF PEDIATRICS,(870) 892-0027,rmpattillo@uams.edu,,102,FALSE,TRUE,FALSE
25816,Discovery Children's Center,Early Intervention Day Treatment (EIDT),Level 2,"1036 S Main Street, Hamburg, AR, 71646",Ashley,Jody Newman,ADVANTAGES OF SOUTHEAST ARKANSAS INC,(870) 853-0857,keen.jody@advantageseark.org,sesameschool3@gmail.com,187,TRUE,FALSE,FALSE
25537,KIDS FOR THE FUTURE OF ROGERS INC,Early Intervention Day Treatment (EIDT),Level 2,"3307 N Dixieland Rd, Rogers, AR, 72756-6816",Benton,Shelia Wilkerson,Kids For The Future Of Rogers Inc,(479) 986-5150,swilkerson@kidsftfr.net,www.kidsftfr.com,256,FALSE,TRUE,FALSE
25325,COMMUNITY SCHOOL OF CLEBURNE COUNTY,Early Intervention Day Treatment (EIDT),Level 2,"74 Cleburne Park Rd, Heber Springs, AR, 72543-9106",Cleburne,Marli Hannah,Community School Of Cleburne County Inc,(501) 362-0943,rebecca@csoccinc.com,,282,TRUE,TRUE,FALSE
25064,Discovery Children's Center,Early Intervention Day Treatment (EIDT),Level 2,"178 W College, Monticello, AR, 71655",Drew,Rebecca Griffin,ADVANTAGES OF SOUTHEAST ARKANSAS INC,(870) 367-4333,griffin.becky@advantageseark.org,,178,TRUE,TRUE,FALSE
24554,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES DBA KIDS FIRST NEWPORT,Early Intervention Day Treatment (EIDT),Level 2,"221 Lindley Ln, Newport, AR, 72112-4954",Jackson,Sharron Emery,UAMS DEPARTMENT OF PEDIATRICS,(870) 523-2124,lblindsey@uams.edu,www.kidsfirst.uams.edu,69,FALSE,TRUE,FALSE
23984,KIDS FOR THE FUTURE OF PARKIN,Early Intervention Day Treatment (EIDT),Level 2,"206 Lake, Parkin, AR, 72373",Cross,Leneki Jones,Kids for the Future of Parkin,(870) 755-2737,jobs@kidsforthefuture.com,,122,FALSE,FALSE,FALSE
23556,Pattillo Center School,Early Intervention Day Treatment (EIDT),Level 2,"601 S Union St, DeWitt, AR, 72042-2727",Arkansas,Ja Chambless,Patillo Center School Inc,(870) 946-1606,jachambless@centurytel.net,,136,TRUE,TRUE,FALSE
22459,FROM THE BEGINNING,Early Intervention Day Treatment (EIDT),Level 2,"120 Nix Ridge Rd, Ash Flat, AR, 72513-9017",Sharp,Rachel Vannattan,SHERRY BUNCH INC DBA FROM THE BEGINNING,(870) 994-3103,fromthebeginningsb@yahoo.com,,94,FALSE,TRUE,FALSE
21947,FROM THE BEGINNING,Early Intervention Day Treatment (EIDT),Level 2,"401 S Main St, Cave City, AR, 72521-9507",Independence,Amanda McCollough,Rachel Vannattan,(870) 283-1034,fromthebeginningsb@yahoo.com,,40,FALSE,TRUE,FALSE
21573,Pinson Park Preschool,Child Care Center,Level 2,"2621 East 42nd Street, Texarkana, AR, 71854",Miller,Cynthia Fincher,Pinson Park Baptist Church,(870) 773-3350,acafincher@windstream.net,,49,TRUE,FALSE,FALSE
16067,Integrity Child Care,Early Intervention Day Treatment (EIDT),Level 2,"6124 Northmoor, Little Rock, AR, 72204",Pulaski,Shalanda Howard,INTEGRITY INC,(501) 614-7200,candersen@integrityinc.org,,51,TRUE,TRUE,FALSE
15022,Ouachita Child Enrichment Center,Early Intervention Day Treatment (EIDT),Level 2,"1320 Maul Rd, Camden, AR, 71701-2618",Ouachita,Cathy Cash,"Ouachita Enrichment Centers, Inc.",(870) 836-2690,tsims@oectrs.org,,69,TRUE,TRUE,FALSE
11637,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES DBA KIDS FIRST PINE BLUFF,Early Intervention Day Treatment (EIDT),Level 2,"3450 W 34th Ave, Pine Bluff, AR, 71603-5508",Jefferson,Gwendolyn Haney,UAMS DEPARTMENT OF PEDIATRICS,(870) 534-7392,knight-haneygwendolyn@uams.edu,,143,FALSE,TRUE,FALSE
10318,Achieve Community Alliance/Achieve kids,Early Intervention Day Treatment (EIDT),Level 2,"9720 Rodney Parham Rd, Little Rock, AR, 72227",Pulaski,Sheila Hampton,United Cerebral Palsy Of Central Arkansas Inc.,(501) 228-3830,sheila@ucpcark.org,,234,TRUE,TRUE,FALSE
8464,THE COMMUNITY SCHOOL DAY CARE,Early Intervention Day Treatment (EIDT),Level 2,"295 Mockingbird St, Batesville, AR, 72501-6615",Independence,Amy Brock,COMMUNITY SCHOOL INC,(870) 805-5206,acampbell.csi@gmail.com,thecommunityschoolinc.org,118,TRUE,TRUE,FALSE
7385,Carousel Day Service Center Of Crossett Inc,Early Intervention Day Treatment (EIDT),Level 2,"1507 S Main St, Crossett, AR, 71635-4125",Ashley,Shalanda Thompson,Carousel Day Service Center Of Crossett Inc,(870) 364-5625,carouselschool@windstream.net,,48,FALSE,TRUE,FALSE
6949,FRANCIS A ALLEN SCHOOL,Early Intervention Day Treatment (EIDT),Level 2,"824 N Tyler St, Little Rock, AR, 72205-3535",Pulaski,Sherrie Ivy,Francis A. Allen School For Exceptional Children Inc,(501) 664-2961,sherrie@francisallenschool.com,,125,FALSE,TRUE,FALSE
6944,THE LEARNING CENTER,Early Intervention Day Treatment (EIDT),Level 2,"2808 Fox Meadow Ln, Jonesboro, AR, 72404-9346",Craighead,LYNN COOPER,The Learning Center Of Northeast Arkansas Inc,(870) 932-4245,lcooper@tlcnea.com,,194,TRUE,TRUE,FALSE
6574,THE LEARNING CENTER OF NORTH ARKANSAS BERRYVILLE CAMPUS,Early Intervention Day Treatment (EIDT),Level 2,"806 W COLLEGE AVE, BERRYVILLE, AR, 72616-3107",Carroll,Karla Gray,The Learning Center of North Arkansas,(870) 423-3000,dmccoy@tlcna.com,,219,TRUE,TRUE,TRUE
5477,FORRESTER DAVIS DEVELOPMENT CENTER,Early Intervention Day Treatment (EIDT),Level 2,"1000 W BUCHANAN ST, CLARKSVILLE, AR, 72830",Johnson,Jennifer Criss,"FORRESTER-DAVIS DEVELOPMENT CENTER, INC.",(479) 754-6210,joy@forresterdavis.com,,179,TRUE,TRUE,FALSE
2016,Fun and Learnland,Early Intervention Day Treatment (EIDT),Level 2,"161 College Dr, DeQueen, AR, 71832",Sevier,Tammy Guinn,"SEVIER COUNTY DEVELOPMENTAL CENTER, INC.",(870) 642-5164,bettyjedwards2002@yahoo.com,,69,TRUE,TRUE,FALSE
1792,VAN BUREN COUNTY SPECIAL SCHOOL,Early Intervention Day Treatment (EIDT),Level 2,"3707 HIGHWAY 95 EAST, CHOCTAW, AR, 72028",Van Buren,Neil Wilkins Jr,Van Buren County Special School,(501) 745-4580,nwvbcss@gmail.com,,85,FALSE,TRUE,FALSE
38286,New Generation Child Development Center,Child Care Center,Level 2,"2315 Wright Avenue, Little Rock, AR, 72202",Pulaski,Sharin Robinson,New Generation Child Development Center LLC,(501) 295-6369,sharin.robinson@yahoo.com,,16,TRUE,FALSE,FALSE
38285,Kidtopia Daycare & Early Learning Center,Child Care Center,Level 2,"310 Pinehurst Street, Texarkana, AR, 71854",Miller,Dewanda Robinson,Kidtopia Daycare and Early Learning Center,(870) 330-7625,kreativekidzz64@gmail.com,,44,TRUE,TRUE,FALSE
38281,Imagination Station Learning Center,Child Care Center,Level 2,"2003 Redbud Street, Pocahontas, AR, 72455",Randolph,Shannon Allen,Shannon Allen,(870) 378-1019,shannonallen2008@gmail.com,,34,TRUE,FALSE,FALSE
38266,Primrose Path Preschool,Child Care Center,Level 2,"715 W 2nd St, Waldron, AR, 72958-7300",Scott,Danielle Stover,Primrose Path Daycare and Preschool LLC,(479) 637-6323,daniellestover1986@yahoo.com,,59,TRUE,FALSE,FALSE
38217,Casa Castillo - Terra,Child Care Center,Level 2,"2401 SE C St, Bentonville, AR, 72712-5089",Benton,Soraida Vega,Casa Castillo LLC,(479) 250-9951,jenny@casacastillonwa.com,,160,TRUE,FALSE,FALSE
38186,Teeny Tiny Tots Playhouse,Child Care Center,Level 2,"5906 W 53rd St, Little Rock, AR, 72209-1557",Pulaski,Catina Davis,"Teeny Tiny Tot Playhouse, LLC",(501) 541-9918,tttplayhouse@yahoo.com,,59,TRUE,TRUE,FALSE
38174,Blair Child Care LLC,Child Care Center,Level 2,"1011 N HWY 71 Suite C, Alma, AR, 72921",Crawford,Amy Butler,Blair Childcare LLC,(479) 420-2944,blairchildcarellc@gmail.com,,32,FALSE,FALSE,FALSE
38151,Essential Child Care,Child Care Center,Level 2,"301 W St Louis, Hot Springs, AR, 71913-4457",Garland,Shawnteria King,Essential Child Care,(501) 282-7047,essentialpathwaysinc@gmail.com,,69,TRUE,FALSE,FALSE
38115,"Kids & Company Child Development Center, LLC",Child Care Center,Level 2,"1722 S Pine St, Cabot, AR, 72023-3868",Lonoke,Barbara Turner,Barbara Turner,(501) 286-4726,kccdc@suddenlinkmail.com,,102,TRUE,FALSE,FALSE
37929,Brandon House Cultural & Performing Arts Center,Out of School Time,Level 2,"11715 Rainwood Road - Suite 1A, Little Rock, AR, 72212",Pulaski,Celeste Watson,Brandon House Cultural & Performing Arts Center,(501) 904-6021,pambax@brandonhousearts.org,,83,TRUE,FALSE,FALSE
37928,Leap Forward,Child Care Center,Level 2,"5313 Mabelvale Pike, Little Rock, AR, 72209",Pulaski,La Angela Medley,Leap Forward CDC,(501) 864-0007,leap.forward@yahoo.com,,102,TRUE,FALSE,FALSE
37868,Toodle Tots Daycare LLC,Child Care Center,Level 2,"1201 W Longhills Rd E, Benton, AR, 72019-1779",Saline,Taylor Robison,TOODLE TOTS DAYCARE LLC,(501) 316-4137,larissa.dxn@gmail.com,,146,TRUE,TRUE,FALSE
37858,Kidspot Walnut Ridge Inc,Early Intervention Day Treatment (EIDT),Level 2,"700 W Main St, Walnut Ridge, AR, 72476-1849",Lawrence,Sherry Hart,KIDSPOT,(870) 637-5903,s.hart@kidspotnea.com,,83,TRUE,TRUE,FALSE
37751,Kids A Cat A Me,Child Care Center,Level 2,"149 HWY 463 S, Trumann, AR, 72472",Poinsett,Hayley Costner,Elizabeth Dobbins,(870) 483-0063,kidsacatametrumann@gmail.com,,99,TRUE,TRUE,FALSE
37736,Burtons Childcare Center,Licensed Child Care Family Home,Level 2,"111 Park St, McGehee, AR, 71654",Desha,,Brenda Burton,(870) 501-2111,burtonschildcare15@gmail.com,N/A,10,TRUE,TRUE,FALSE
37726,ABC Happy Kids Learning Academy,Child Care Center,Level 2,"1700 W COMMERCE DR, ROGERS, AR, 72756",Benton,Kareen Perez Pagan,ABC Happy Kids Learning Center Inc,(479) 202-5691,sherry.tran@abchappykids.com,www.abchappykids.com,147,TRUE,TRUE,FALSE
36719,First Step Preschool,Child Care Center,Level 2,"2312 Llama Dr, Searcy, AR, 72143-4793",White,Denice Coston,HARRY PARKER,(501) 279-7837,firststepdaycare650@gmail.com,,102,TRUE,FALSE,FALSE
36715,Knowledge Factory,Child Care Center,Level 2,"6323 Colonel Glenn #109, Little Rock, AR, 72204",Pulaski,Sharon Palmer,Knowledge Factory LLC,(501) 414-8892,thekfactory18@gmail.com,theKfactory18@gmail.com,53,TRUE,TRUE,FALSE
36672,Jungle Gym Adventures & Learning Center,Child Care Center,Level 2,"2640 N Thomasville St, Pocahontas, AR, 72455-1202",Randolph,Trisha Land,AMY JOHNSON,(870) 248-0431,junglegymacademy@yahoo.com,junglegymacademy@yahoo.com,131,TRUE,TRUE,FALSE
36657,Alice's Kids In Wonderland,Child Care Center,Level 2,"109 E Forrest St, Jonesboro, AR, 72401-1692",Craighead,Alice Evans,Alice's Kids In Wonderland LLC,(870) 206-7973,aliceskidsinwonderland@yahoo.com,,28,TRUE,TRUE,FALSE
36604,Val's Little Angels Too,Child Care Center,Level 2,"227 Columbia St, Lake Village, AR, 71653",Chicot,Valansian Mitchell,Valansain Mitchell,(870) 632-5051,valansianm@yahoo.com,,26,TRUE,TRUE,FALSE
36576,"Kidspot Marion, Inc.",Early Intervention Day Treatment (EIDT),Level 2,"1010 AR-77, Marion, AR, 72364-9007",Crittenden,Latrese Washington,Kidspot Marion Inc,(870) 629-6072,l.washington@kidspotnea.com,,195,TRUE,TRUE,TRUE
36564,Jamari & Jazz Kid Connection LLC,Child Care Center,Level 2,"4000 E Broadway St, North Little Rock, AR, 72114-6430",Pulaski,Stacie Altman,Jamari & Jazz Kid Connection LLC,(501) 346-9673,jjkc.stacie@gmail.com,,51,TRUE,TRUE,FALSE
36490,Bertha's Daycare,Licensed Child Care Family Home,Level 2,"200 West Lynn, Brinkley, AR, 72021",Monroe,,Bertha Burnett,(870) 734-2972,berthaburnett@att.net,,10,TRUE,FALSE,FALSE
36468,Just Like Home Daycare Center,Child Care Center,Level 2,"5411 East Nettleton Avenue, Jonesboro, AR, 72401",Craighead,Quinn Henry,Shadreka Hardison,(870) 316-2880,jlikehomedc@gmail.com,,49,TRUE,TRUE,FALSE
36400,Young Scholars Child Development Center,Child Care Center,Level 2,"8903 Morris Manor Dr, Little Rock, AR, 72204-1461",Pulaski,Adrianne Oneal,Young Scholars Child Development Center,(501) 683-8391,young_scholars@yahoo.com,,42,TRUE,TRUE,FALSE
36376,Over The Rainbow Learning Center,Child Care Center,Level 2,"114 Garland Ave, West Helena, AR, 72390-2440",Phillips,Cindy Randall,Cindy Randall,(870) 816-7504,randallcindy1978@gmail.com,Otrainbowllc@gmail.com,58,TRUE,TRUE,FALSE
36354,See Um Smile Playhouse,Child Care Center,Level 2,"297 E Main St, Farmington, AR, 72730-3073",Washington,Tesla Grogan,Charles Rateliff,(479) 267-2491,rachael@vpapromotions.com,seeumsmileplayhouse@gmail.com,122,TRUE,TRUE,FALSE
36353,Wild About Learning Academy-West,Child Care Center,Level 2,"2705 SE G St, Bentonville, AR, 72712-3740",Benton,Dina Ford,Wild About Learning Academy-West,(479) 464-0631,wild.dina@gmail.com,wildnwa.org,60,TRUE,FALSE,FALSE
36342,Dance Life Preschool of Arts,Licensed Child Care Family Home,Level 2,"312 Water St, North Little Rock, AR, 72117",Pulaski,Ricarol Rockins,Ricarol Rockins,(501) 291-8770,ricarol.hinton@gmail.com,,10,TRUE,TRUE,FALSE
36259,J.A Fair Care Program,Child Care Center,Level 2,"13420 David O Dodd Rd, Little Rock, AR, 72210-2724",Pulaski,Andreia Crawford,Little Rock School Board,(501) 447-1880,andreia.crawford@lrsd.org,https://www.lrsd.org/jafair,36,TRUE,FALSE,FALSE
36221,The Goddard School,Child Care Center,Level 2,"3702 SW H ST, BENTONVILLE, AR, 72713",Benton,Cecillia Clardy,Leila Burkert,(479) 877-3199,bentonvillear@goddardschools.com,,166,TRUE,FALSE,FALSE
36200,Abundant Love Childcare Center LLC,Child Care Center,Level 2,"3704 S Caraway Rd #8, Jonesboro, AR, 72404-0754",Craighead,Tina Adams,"Abundant Love Child Care Center, LLC",(870) 919-5631,abundantlovechildcarecenter@gmail.com,,47,TRUE,TRUE,FALSE
36121,Tiny Hearts Learning Academy,Child Care Center,Level 2,"1216 HWY 5, Benton, AR, 72019",Saline,Justina McAlphin,Alicia Williams,(501) 316-4073,tinyheartslearningacademy@gmail.com,,35,TRUE,FALSE,FALSE
36100,Laugh-N-Learn Childcare Center,Child Care Center,Level 2,"4000 Old Warren Road, Pine Bluff, AR, 71603",Jefferson,Shalonda Dunn,Shalonda Dunn,(870) 541-5011,laughnlearn2016@gmail.com,,92,TRUE,TRUE,FALSE
36097,Love and Patience Child Care Center II,Child Care Center,Level 2,"7505 Colonel Glenn Road, Little Rock, AR, 72204",Pulaski,Shretta Morris,Shretta Morris,(501) 541-8533,shrettamorris@gmail.com,,117,TRUE,FALSE,FALSE
36086,Pleasant Hill Fun To Learn Preschool,Child Care Center,Level 2,"117 McHorse Road, Lockesburg, AR, 71846",Sevier,Nancy Welch,"Pleasant Hill Fun To Learn Preschool, LLC",(870) 286-2124,lfry@lockesburg.com,,99,TRUE,FALSE,FALSE
36066,The Goddard School,Child Care Center,Level 2,"3420 W Mt Comfort Rd, Fayetteville, AR, 72704-5748",Washington,Ashley Lester,"MHCC Holdings, LLC",(479) 334-2800,fayetteville2ar@goddardschools.com,,149,TRUE,FALSE,FALSE
36025,"Lovely Sunshine Learning Ctr LR, LLC",Child Care Center,Level 2,"2425 Tyler St, Conway, AR, 72034-3142",Faulkner,Maria de' Carmen Pitones Hernandez,Lovely Sunshine Learning Center LR LLC,(501) 205-1015,bramirez@lovelysunshine.org,,44,TRUE,TRUE,FALSE
35947,Legacy Learning LLC,Child Care Center,Level 2,"930 Wingate St., Building E, Suite 1, Conway, AR, 72034",Faulkner,Brandy Hansberry,Legacy Learning LLC,(501) 295-7311,brandy@legacylearningconway.org,legacylearningconway.org,26,TRUE,TRUE,FALSE
35942,Happy Feet Child Care-After School,Child Care Center,Level 2,"2085 Center Street, Elkins, AR, 72727",Washington,Gayle Jenkins,Elkins After School Program,(479) 856-8333,happyfeetchildcare1238@gmail.com,,66,TRUE,FALSE,FALSE
35890,Paragould Tiny Blessings of Arkansas,Child Care Center,Level 2,"200 Linwood Dr, Paragould, AR, 72450-4078",Greene,Sara Book,Paragould Tiny Blessings of Arkansas LLC,(870) 476-4810,kldeb48@yahoo.com,,87,TRUE,TRUE,FALSE
35869,From Caterpillars to Butterflies,Child Care Center,Level 2,"4910 W Wedington Dr, Fayetteville, AR, 72704",Washington,Teresa Mallard,From Caterpillars to Butterflies LLC,(479) 595-0313,fctbcd@gmail.com,www.fctbcd.com,101,TRUE,FALSE,FALSE
35839,Sky Early Learning Center,Child Care Center,Level 2,"410 Lora Drive, Bryant, AR, 72022",Saline,Elizabeth Crouse,Elizabeth & Jeremy Crouse,(501) 574-8364,skyearlylearningcenter@gmail.com,,171,TRUE,TRUE,FALSE
35720,Kiddie Town Learning Center,Licensed Child Care Family Home,Level 2,"6022 Hinkson Road, Little Rock, AR, 72209",Pulaski,Janice Hinton,Janice Hinton,(501) 519-6304,jhinton71@yahoo.com,,16,TRUE,TRUE,FALSE
35685,Younglins Kid Zone,Child Care Center,Level 2,"3620 Baseline Road, Little Rock, AR, 72209",Pulaski,Theresa Young,Youngs In Home Care Inc,(501) 280-0901,gerryteresayoung@sbcglobal.net,,85,TRUE,TRUE,FALSE
35622,Incredible Kidz Academy II,Child Care Center,Level 2,"5001 Camp Robinson Rd, North Little Rock, AR, 72118",Pulaski,Sabrina Rodgers,Incredible Kidz INC,(501) 747-1311,incrediblekidzcamp@yahoo.com,,83,TRUE,TRUE,FALSE
35607,Wee Care,Licensed Child Care Family Home,Level 2,"205 Will St, Morrilton, AR, 72110",Conway,,Melanie Daigle,(501) 354-0186,daigle_melanie@yahoo.com,,10,TRUE,TRUE,FALSE
35533,The Goddard School,Child Care Center,Level 2,"15100 Chenal Pkwy, Little Rock, AR, 72211",Pulaski,Katelyn Grice,Carrie Marshall,(501) 367-7200,littlerockar@goddardschools.com,,149,TRUE,FALSE,FALSE
35489,Klassic Kidz Two,Child Care Center,Level 2,"614 South Cherry Street, Pine Bluff, AR, 71601",Jefferson,Chandra Taylor,Klassic Kidz Inc.,(870) 872-5587,klassickidzpinebluff@gmail.com,,42,TRUE,FALSE,FALSE
35444,Mobius Learning Academy,Out of School Time,Level 2,"160 Haxton Rd, Bentonville, AR, 72713",Benton,Dallas Heasley,Nick Bartelt,(479) 268-4080,katie.bartelt@exploremobius.com,www.exploremobius.com,216,TRUE,FALSE,FALSE
35423,Roo's World,Out of School Time,Level 2,"905 S 13th St, Rogers, AR, 72758-5117",Benton,RYAN FOLGER,Roos World,(479) 502-2541,roowinchester@outlook.com,,149,TRUE,FALSE,FALSE
35377,The Climbing Ladder Daycare,Licensed Child Care Family Home,Level 2,"3414 Lamb Rd, Alma, AR, 72921",Crawford,,Amanda Waldrop,(479) 430-1411,climbingladderdaycare@gmail.com,climbingladderdaycare@gmail.com,16,TRUE,TRUE,FALSE
35373,Touched by an Angel Family Home,Licensed Child Care Family Home,Level 2,"1713 Green Meadow Drive, Little Rock, AR, 72204",Pulaski,Angel Pitman,Angel Weston-Pittman,(501) 413-4316,angel.pittman1219@att.net,,10,TRUE,TRUE,FALSE
35354,Kidd Kave Learning Center,Child Care Center,Level 2,"8319 Geyer Springs Rd, Little Rock, AR, 72209-4945",Pulaski,Laquishun Jimerson,LaQuishun Jimerson,(501) 355-7309,kiddkavelearningcenter@aol.com,,31,TRUE,FALSE,FALSE
35230,It's All About Kids,Child Care Center,Level 2,"631 South Gabbert Street, Monticello, AR, 71655",Drew,Cecilee Kulbeth,Michelle Kulbeth,(870) 723-0382,kulbeth7@gmail.com,,74,TRUE,TRUE,FALSE
34323,Mrs. Shelby's Stepping Stones Academy,Child Care Center,Level 2,"323 E Venable St, Booneville, AR, 72927-4340",Logan,LyRic Shelton,Shelby Godfrey,(479) 675-1633,shelbyleneagodfrey@yahoo.com,,84,TRUE,TRUE,FALSE
31439,Learning Land,Child Care Center,Level 2,"1103 E L St, Russellville, AR, 72801",Pope,Jennifer Moss,Learning Land Inc,(479) 968-3007,learningland@myconnectchurch.cc,,84,FALSE,FALSE,FALSE
31430,Tots Landing Child Care,Child Care Center,Level 2,"2129 N Center St STE F, Fayetteville, AR, 72701-8713",Washington,Cortney Mabry,Tots Landing Child Care LLC,(479) 643-2756,totslandingelkinsar@gmail.com,,44,TRUE,TRUE,FALSE
31417,"Learning Station Child Development Center, LLC",Child Care Center,Level 2,"204 Attaway Lane, Fouke, AR, 71837",Miller,Brandi Thornton,The Learning Station Child Development Center LLC,(870) 653-2121,gainey.proverbs22.6@gmail.com,,30,TRUE,FALSE,FALSE
31403,SCRUBBEE'S KIDS ACADEMY,Child Care Center,Level 2,"723 N Beech St, North Little Rock, AR, 72120",Pulaski,Carletta Brewer,Stevie Brewer,(501) 353-0303,scrubbeeskidaacademy@yahoo.com,,58,TRUE,TRUE,FALSE
31387,Doodlebugs Daycare and Preschool,Child Care Center,Level 2,"1228 Brookhaven Ct, Springdale, AR, 72764",Washington,Amber Johnson - Glimore,Hagood Childcare LLC,(479) 927-2235,doodlebugs.daycare@yahoo.com,doodlebugsllc.com,127,TRUE,TRUE,FALSE
31381,Teach Play to Learn Childcare and Preschool Development Center,Child Care Center,Level 2,"4110 E 37th St, Little Rock, AR, 72206",Pulaski,Lanell Jefferson,Prekinder Beginning Prep Academy Inc.,(501) 904-7103,pprekinder@gmail.com,,128,TRUE,TRUE,FALSE
31368,Ministry of Intercession,Out of School Time,Level 2,"3409 Baseline Road, Little Rock, AR, 72209",Pulaski,Carloyn Wilkerson,Ronald Wilkerson - Ministry of Intercession,(501) 565-0100,missycarolyn01@att.net,,258,TRUE,FALSE,FALSE
31340,Tiny Little Blessings Learning Center & Child Care INC.,Child Care Center,Level 2,"105 S Highway 365, Redfield, AR, 72132",Jefferson,Jamie Bumpass,"Tiny Little Blessings Learning Center & Child Care, INC.",(501) 397-2669,tinylittleblessings19@gmail.com,,103,TRUE,TRUE,FALSE
31328,Goddard School of Rogers,Child Care Center,Level 2,"5303 S Southern Hills Ct, Rogers, AR, 72758-3500",Benton,Molly Peoples,Spencer Hill,(479) 335-1122,rogersar@goddardschools.com,,148,TRUE,FALSE,FALSE
