Provider Name,Permit Type,Permit Number,Operator,Facility Type,Street,City,State,Zip,County,Phone,ABC Level,Last ABC Inspection Date,Capacity,Head Start,First Steps,Breastfeeding Friendly,Sleep Safe
Aretha Davis,Registration,23878,"Aretha Davis ",Family Child Care Home,3201 E. Amherst Dr.,FLORENCE,SC,29506,Florence,(843)-407-1721,,,6,False,False,False,False
Aretha Davis,License,25753,"Aretha Davis ",Family Child Care Home,211 Johnesville Road,SMOAKS,SC,29481,Colleton,(843)-599-7809,,,6,False,False,False,False
Arlania Lewis,License,26209,"Arlania Lewis ",Family Child Care Home,112 Summey St B22,CLEMSON,SC,29631,Pickens,(864)-906-0141,,,5,False,False,False,False
Arline Harmon Van horn,Registration,8278,Arline Van horn Harmon,Family Child Care Home,113 Ponderosa Drive,LADSON,SC,29456,Berkeley,(843)-343-8274,,,6,False,False,False,False
Arthrex Academy,License,26149,Jenny Hobson,Child Care Center,1015 Blackman Road,PENDLETON,SC,29670,Anderson,(864)-772-8600,,,212,False,False,False,False
Asbury Kindergarten & Preschool,Registration,758,Tina Marie Howard,Child Care Center,1005 Asbury Drive,Columbia,SC,29209,Richland,(803)-776-8121,,,100,False,False,False,False
Ashley Campbell,Registration,24489,"Ashley Campbell ",Family Child Care Home,"210 Cherry St. ",BELTON,SC,29627,Anderson,(864)-392-1000,,,6,False,False,False,False
Ashley Hall / Judith Webber Ross,License,15499,"Polly Kronsberg, Diane E. Fletcher",Child Care Center,172 Rutledge Avenue,CHARLESTON,SC,29403,Charleston,(843)-720-2882,,,206,False,False,False,False
Ashley River Kaleidoscope,Approval,25723,Teresa Platt,Child Care Center,1871 Wallace School road,CHARLESTON,SC,29407,Charleston,(843)-402-5922,,,340,False,False,False,False
Audacy Creative Arts Preschool,License,23339,Cheryl Bennett,Child Care Center,814 Elsey Drive,CHARLESTON,SC,29407,Charleston,(843)-637-3135,,,164,False,False,False,False
Audrea Morant,Registration,25774,"Audrea Morant ",Family Child Care Home,303-B Julia Carolina Ave,MONCKS CORNER,SC,29461,Berkeley,(843)-708-6854,,,6,False,False,False,False
Augusta Road Baptist Church Weekday Education,Registration,139,Amanda Judd Anderson,Child Care Center,1823 Augusta Road,GREENVILLE,SC,29605,Greenville,(864)-232-2713,,,147,False,False,False,False
Augusta Road Baptist Church Weekday Education-Open Hearts Campus,License,26016,Mary Margaret Martin,Child Care Center,2703 Augusta St,GREENVILLE,SC,29605,Greenville,(864)-214-1309,,,162,False,False,False,False
Aundrea Brown,Registration,25982,"Aundrea Brown ",Family Child Care Home,9 River Birch Road,COLUMBIA,SC,29229,Richland,(803)-938-4775,,,5,False,False,False,False
Aunt Sarah's Learning Center,License,26063,Casaundra Barrineau,Child Care Center,1192 Pope Street,TURBEVILLE,SC,29162,Clarendon,(843)-659-5436,,,40,False,False,False,False
Avis E Miles,Registration,10527,Avis Miles E,Family Child Care Home,931 Battery Ave.,Charleston,SC,29407,Charleston,(843)-852-5294,,,6,False,False,False,False
Avis Young,License,25354,"Avis Young ",Family Child Care Home,"205 Willow Grove Way ",PIEDMONT,SC,29673,Greenville,(864)-386-2619,,,6,False,False,False,False
Ayanna Morse,Registration,26038,"Ayanna Morse ",Family Child Care Home,149 Windridge Road,COLUMBIA,SC,29223,Richland,(803)-767-3562,,,5,False,False,False,False
Barbara Ann Bryant,License,17419,Barbara Bryant Ann,Group Child Care Home,625 Shiloh Road,SENECA,SC,29678,Oconee,(864)-882-9632,,,12,False,False,False,False
Barbara Doe,Registration,26076,"Barbara Doe ",Family Child Care Home,219 Forrest Dr,RIDGELAND,SC,29936,Jasper,(843)-368-0621,,,6,False,False,False,False
Barbara Gail Gibson,License,17182,Barbara Gibson Gail,Group Child Care Home,4012 Mildred Avenue,COLUMBIA,SC,29203,Richland,(803)-319-6829,,,12,False,False,False,False
Barbara Grant,License,17300,"Barbara Grant ",Group Child Care Home,1529 Mayer Street,Columbia,SC,29203,Richland,(803)-786-6776,,,12,False,False,False,False
Barbara Jean Felder,Registration,24802,Barbara Felder Jean,Family Child Care Home,865 Trinity Lane,COWARD,SC,29530,Florence,(843)-389-9343,,,6,False,False,False,False
Barbara Lewis Ellison,License,25785,"Barbara Lewis Ellison ",Family Child Care Home,201 Miracle Mile Road,HEMINGWAY,SC,29554,Williamsburg,(843)-558-9834,,,5,False,False,False,False
Barbara Provard,Registration,25683,"Barbara Provard ",Family Child Care Home,828 Foggy Day Drive,BLYTHEWOOD,SC,29016,Richland,(803)-673-1248,,,5,False,False,False,False
Be Great Academy- Newberry Elementary,License,26073,T'Kayah Shawnese Williams,Child Care Center,1829 Nance Street,NEWBERRY,SC,29108,Newberry,(803)-237-7329,,,78,False,False,False,False
Be Great Academy- Reuben Elementary,License,26205,Marlena Renee Coleman,Child Care Center,3605 Spearman Road,NEWBERRY,SC,29108,Newberry,(803)-319-6482,,,65,False,False,False,False
Beansprout Academy,License,24368,Caylin Grace Tinkler,Child Care Center,3070 Pleasant Road,Fort Mill,SC,29708,York,(803)-548-2326,,,140,False,False,False,False
Beansprout Academy of Indian Land,License,25174,,Child Care Center,2050 Bridgemill Drive,FORT MILL,SC,29707,Lancaster,(803)-802-2326,,,204,False,False,False,False
Beaufort Academy Kindergarten,License,16845,Corinna Michele Stinger,Child Care Center,7 Fairfield Estate Road,Beaufort,SC,29907,Beaufort,(843)-524-9533,,,80,False,False,False,False
Beaufort Christian School,Registration,869,Douglas A Wadsworth,Child Care Center,378 Parris Island Gateway,Beaufort,SC,29906,Beaufort,(843)-525-0635,,,80,False,False,False,False
Beca Blomker,Registration,25928,"Beca Blomker ",Family Child Care Home,1076 Peridote Way,LADSON,SC,29456,Berkeley,(360)-929-3357,,,6,False,False,False,False
Belin Creative Learning Center,Registration,851,Amanda Romance,Child Care Center,4182 Hwy. 17 Business,MURRELLS INLET,SC,29576,Georgetown,(843)-651-2930,,,177,False,False,False,False
Belinda Farr,License,25553,"Belinda Farr ",Family Child Care Home,207 Westcliffe Way,GREENVILLE,SC,29611,Greenville,(864)-704-8227,,,6,False,False,False,False
Bells Elementary Head Start,Approval,26096,Carmen Salley,Child Care Center,"12088 Bells Hwy ",RUFFIN,SC,29475,Colleton,(843)-549-5576,,,20,False,False,False,False
Ben Lippen School,Registration,26054,Christa Agee,Child Care Center,3513 Hard Scrabble Road,COLUMBIA,SC,29223,Richland,(803)-807-4500,,,60,False,False,False,False
Ben Lippen School,Registration,25334,Kelli Larsen,Child Care Center,7401 Monticello Road,COLUMBIA,SC,29203,Richland,(803)-807-4300,,,162,False,False,False,False
Ben Lippen School,Registration,25221,Stephen Eric Maurelli,Child Care Center,500 Saint Andrews Road,COLUMBIA,SC,29210,Richland,(803)-807-4400,,,62,False,False,False,False
Berea First Baptist Church CDC,License,15339,Donna Miller,Child Care Center,529 Farrs Bridge Road,GREENVILLE,SC,29611,Greenville,(864)-294-9001,,,199,False,False,False,False
Berea Friendship Child Development Center,Registration,556,Shannon Finley,Child Care Center,8001 White Horse Road,GREENVILLE,SC,29617,Greenville,(864)-294-7969,,,82,False,False,False,False
Bernetra Boyd-Nowline,Registration,24783,"Bernetra Boyd-Nowline ",Family Child Care Home,1021 Harmony Street,FLORENCE,SC,29501,Florence,(843)-230-0873,,,6,False,False,False,False
Beth Gates,Registration,25311,"Beth Gates ",Family Child Care Home,18 Tabor Street,GREENVILLE,SC,29609,Greenville,(864)-242-4598,,,6,False,False,False,False
Beth Laura Wampach,Registration,7874,Beth Wampach Laura,Family Child Care Home,14 Winslow Court,COLUMBIA,SC,29229,Richland,(803)-309-5545,,,6,False,False,False,False
Bethanne Mundy,Registration,23203,"Bethanne Mundy ",Family Child Care Home,100 Ayrshire Drive,GREENVILLE,SC,29615,Greenville,(864)-322-0415,,,6,False,False,False,False
Bethany Child Development Center,License,15801,Toni Pinkard,Child Care Center,118 West Third St. South,SUMMERVILLE,SC,29483,Dorchester,(843)-821-1946,,,186,False,False,False,False
Bethel Cares,Registration,22090,Kelly S. Arledge,Child Care Center,814 Fair Street,CAMDEN,SC,29020,Kershaw,(803)-432-6220,,,100,False,False,False,False
Bethel Child Care and Learning Center,Registration,382,Margaret Ann Poston,Child Care Center,2401 Bethel  Church Road,SUMTER,SC,29154,Sumter,(803)-481-5340,,,91,False,False,False,False
Bethel Child Enrichment Program,License,11338,Chella Annette Hamrick,Child Care Center,245 South Church Street,SPARTANBURG,SC,29306,Spartanburg,(864)-585-8356,,,186,False,False,False,False
Bethesda Christian School,License,17645,Megan Wright,Child Care Center,504 Dekalb Street,CAMDEN,SC,29020,Kershaw,(803)-425-0080,,,100,False,False,False,False
Bethesda Learning Center,License,23245,Brenda D Pereira,Child Care Center,2730 Broad Street,SUMTER,SC,29150,Sumter,(803)-469-2588,,,99,False,False,False,False
Bethesda Presbyterian Church,Registration,573,"Cynthia T Jackson, Cynthia Dawn Westmoreland",Child Care Center,4858 McConnells Highway,York,SC,29745,York,(803)-328-0149,,,174,False,False,False,False
Beverly Hamilton,Registration,23407,"Beverly Hamilton ",Family Child Care Home,205-G Old Shanklin Road,Beaufort,SC,29906,Beaufort,(843)-271-0219,,,6,False,False,False,False
Beverly Morris McClam,Registration,23375,Beverly McClam Morris,Family Child Care Home,834 Lynch Road,COWARD,SC,29530,Florence,(843)-389-7634,,,6,False,False,False,False
Big Blue Marble - 38,License,25229,Tammy Napolitano,Child Care Center,110 Hadleigh Drive,LEXINGTON,SC,29072,Lexington,(803)-888-2408,,,303,False,False,False,False
Big Blue Marble Academy,License,25489,Kashauna Simmons,Child Care Center,726 Folly Rd,CHARLESTON,SC,29412,Charleston,(843)-350-5776,,,171,False,False,False,False
Big Blue Marble Academy Elgin,License,26223,Harriet T Evans,Child Care Center,900 Commons Drive,ELGIN,SC,29045,Kershaw,(803)-973-7880,,,268,False,False,False,False
Big Blue Marble Academy-15,License,24809,Tracey Scheuermann,Child Care Center,3912 Leaphart Road,West Columbia,SC,29169,Lexington,(803)-939-0125,,,182,False,False,False,False
Blaney Baptist Church Day Care,Registration,371,Wanda Brown,Child Care Center,1400 Blaney Road,ELGIN,SC,29045,Kershaw,(803)-438-1459,,,99,False,False,False,False
"Blessed Sacrament Catholic School ",Registration,23826,Sophie Fulmer,Child Care Center,7 St. Teresa Drive,CHARLESTON,SC,29407,Charleston,(843)-766-2128,,,80,False,False,False,False
Blondell C Brunson,Registration,21224,Blondell Brunson C,Family Child Care Home,88 E. Brewington Road,SUMTER,SC,29153,Sumter,(803)-469-2735,,,6,False,False,False,False
Blue Bird Academy,License,25259,Dalma DeLeon,Child Care Center,4899 Wade Hampton Boulevard,TAYLORS,SC,29687,Greenville,(864)-263-3299,,,140,False,False,False,False
Bob Jones Academy,Registration,91,"Cathy Miller, Melodye Snyder",Child Care Center,1700 Wade Hampton Boulevard,GREENVILLE,SC,29614,Greenville,(864)-370-1800,,,402,False,False,False,False
Boys & Girls Club (Center for Achievement),License,25871,Antoniece Woods,Child Care Center,1000 Lake Carolina Drive,COLUMBIA,SC,29229,Richland,(803)-467-2873,,,56,False,False,False,False
Boys & Girls Club (Roundtop Elementary),License,26034,Inger Brown,Child Care Center,449 Rimer Pond Road,BLYTHEWOOD,SC,29016,Richland,(803)-404-8840,,,240,False,False,False,False
Boys & Girls Club (Windsor Elementary),License,26030,Robin McCall,Child Care Center,9800 Dunbarton Drive,COLUMBIA,SC,29223,Richland,(803)-238-9695,,,280,False,False,False,False
Boys & Girls Club of Kershaw Doby Mills Elementary,License,25797,,Child Care Center,1964 Fort Jackson Road,LUGOFF,SC,29078,Kershaw,(803)-319-7507,,,253,False,False,False,False
Boys & Girls Club of Kershaw Lugoff Elementary,License,25760,Lynda Watson,Child Care Center,994 Ridgeway Road,LUGOFF,SC,29078,Kershaw,(803)-348-5041,,,100,False,False,False,False
"Boys & Girls Clubs of Kershaw (Blaney Elementary School) ",License,26221,William Lamar Washington,Child Care Center,1621 Smyrna Road,ELGIN,SC,29045,Kershaw,(803)-447-3947,,,260,False,False,False,False
Boys & Girls Clubs of Kershaw (Midway Elementary),License,26061,Justin Hayes,Child Care Center,1892 US-1,CASSATT,SC,29032,Kershaw,(803)-521-6079,,,240,False,False,False,False
Boys &Girls Club of the Midlands (Rice Creek),License,25796,Ronshontokie Coney,Child Care Center,4751 Hardscrabble Road,COLUMBIA,SC,29229,Richland,(803)-467-5673,,,260,False,False,False,False
Brandie Dickson,Registration,26133,"Brandie Dickson ",Family Child Care Home,3041 Carmon Short Cut Road,OLANTA,SC,29114,Florence,(843)-992-5216,,,5,False,False,False,False
Brandy Fortner,Registration,24901,"Brandy Fortner ",Family Child Care Home,195 Turkey Ridge Road,GAFFNEY,SC,29340,Cherokee,(864)-838-4202,,,6,False,False,False,False
Breath of Life Academy for Tots,License,26039,Tynetta Jenay Thomas,Child Care Center,825 Duke Ave,COLUMBIA,SC,29203,Richland,(803)-661-9006,,,40,False,False,False,False
Brenda Cockrell,Registration,10171,"Brenda Cockrell ",Family Child Care Home,37 Cedar Creek Road,EDGEFIELD,SC,29824,Edgefield,(803)-480-3073,,,6,False,False,False,False
Brenda Rackley,Registration,24689,"Brenda Rackley ",Family Child Care Home,101 Gwynn Road,CHERAW,SC,29520,Chesterfield,(843)-537-2707,,,6,False,False,False,False
Brenda Swinney,Registration,6374,"Brenda Swinney ",Family Child Care Home,1427 Bethea Street,DILLON,SC,29536,Dillon,(843)-496-7953,,,6,False,False,False,False
Bridgette Fryar Singleton,Registration,22919,Bridgette Singleton Fryar,Family Child Care Home,1343 Rivers Street,WALTERBORO,SC,29488,Colleton,(843)-782-3195,,,6,False,False,False,False
Bright Beginnings Child Development Center,License,25320,Robyn Robinson,Child Care Center,"2500 Ebenezer Road,Suite 101",ROCK HILL,SC,29732,York,(803)-328-8111,,,120,False,False,False,False
Bright Oak Preschool Academy,License,25795,Audrey Tamekazu,Child Care Center,3280 Maybank Highway,JOHNS ISLAND,SC,29455,Charleston,(843)-278-8621,,,211,False,False,False,False
Brightside Learning Academy LLC,License,26141,Sarah Grover,Child Care Center,306 Highway 15,MYRTLE BEACH,SC,29577,Horry,(843)-945-1021,,,121,False,False,False,False
Brittany Mills,Registration,26257,"Brittany Mills ",Family Child Care Home,37 Bouchet Court,COLUMBIA,SC,29203,Richland,(336)-912-3490,,,5,False,False,False,False
Brooklynn Godwin,Registration,25591,"Brooklynn Godwin ",Family Child Care Home,5136 Pratt Drive,BOILING SPRINGS,SC,29316,Spartanburg,(864)-209-1082,,,6,False,False,False,True
Brookwood Preschool Academy,License,21595,Renee Lynn LaPierre,Child Care Center,580 Brookwood Point Place,SIMPSONVILLE,SC,29681,Greenville,(864)-688-8223,,,289,False,False,False,False
"Building Blocks Educational Childcare, LLC",License,25919,Valerie Richiusa,Child Care Center,823 W. Richardson Ave.,SUMMERVILLE,SC,29483,Dorchester,(917)-584-7688,,,33,False,False,False,False
Building Bridges Early Learning Center,Registration,26084,"Cher Rodgers McDonald, Amber Dawn Curry",Child Care Center,233 Harrison Bridge Road,SIMPSONVILLE,SC,29680,Greenville,(864)-963-9152,,,150,False,False,False,False
Bumble Bee Daycare and Learning Center,License,24040,"Nancy Abad, Cinthia De Leon",Child Care Center,"288 Rocky Creek Road ",GREENVILLE,SC,29615,Greenville,(864)-534-1653,,,163,False,False,False,False
Buncombe Street Methodist Church CDC,License,25814,Wanda Arnold,Child Care Center,200 Buncombe Street,GREENVILLE,SC,29601,Greenville,(864)-233-5050,,,255,False,False,False,False
Cadence Academy Preschool,License,21159,Laura M. Meara,Child Care Center,450 Columbiana Drive,COLUMBIA,SC,29212,Richland,(803)-749-9553,,,339,False,False,False,False
Cadence Academy Preschool,License,18276,"Lisa Devette Pinkney, Lisa Pinckney",Child Care Center,891 Johnnie Dodds Blvd.,MOUNT PLEASANT,SC,29464,Charleston,(843)-849-0051,,02/29/2024,223,False,False,False,False
Cadence Academy Preschool,License,18368,Rachel Rivas Byrd,Child Care Center,1130 Sparkleberry Lane,Columbia,SC,29223,Richland,(803)-788-2255,,,234,False,False,False,False
Cadence Academy Preschool,License,18265,Misty Schuitema,Child Care Center,1966 Magwood Dr.,CHARLESTON,SC,29414,Charleston,(843)-573-0067,,,321,False,False,False,False
"Cainhoy Children's Academy ",License,24906,Andrea Michelle Kitchens,Child Care Center,1005 Clements Crest Lane,CHARLESTON,SC,29492,Berkeley,(843)-371-5950,,,253,False,False,False,False
Calandra Stokes-Wright,Registration,26012,"Calandra Stokes-Wright ",Family Child Care Home,5494 Columbia Rd,ORANGEBURG,SC,29118,Orangeburg,(803)-378-3446,,,6,False,False,False,False
Calvary Christian Day Care,Registration,396,Cindy Stankewich,Child Care Center,1722 West Main Street,Lexington,SC,29072,Lexington,(803)-359-2974,,,204,False,False,False,False
Calvary Christian Preschool,Registration,21882,Kimberly Nicole Grieder,Child Care Center,101 Calvary Street,GREER,SC,29651,Greenville,(864)-877-5555,,,100,False,False,False,False
Calvary Christian Preschool,Registration,589,Michele Schultz,Child Care Center,3810 Grandview Drive,SIMPSONVILLE,SC,29680,Greenville,(864)-688-3043,,,132,False,False,False,False
Calvary Christian School,Registration,223,Mark Roland,Child Care Center,4511 Dick Pond Road,MYRTLE BEACH,SC,29588,Horry,(843)-650-2829,,,119,False,False,False,False
Cambridge Academy,License,21693,Leigh Haddon Croyle,Child Care Center,103 Eastman Street,Greenwood,SC,29649,Greenwood,(864)-229-2875,,,120,False,False,False,False
Camden Kids Academy,License,24748,Summer Manuel,Child Care Center,1735 Jefferson Davis Hwy,CAMDEN,SC,29020,Kershaw,(803)-272-0879,,,81,False,False,False,False
Camp Lowcountry Day,License,25274,Alana McBride,Child Care Center,285 Red Cedar St.,BLUFFTON,SC,29910,Beaufort,(843)-815-2273,,,252,False,False,False,False
Candace Pompey,Registration,25960,"Candace Pompey ",Family Child Care Home,3507 Tropicana Way,FLORENCE,SC,29501,Florence,(843)-618-7208,,,5,False,False,False,False
Candace Rae Murphy,License,25610,Candace Murphy Rae,Family Child Care Home,509 Peach Cider Road,BATESBURG,SC,29006,Aiken,(803)-582-8574,,,6,False,False,False,False
Cane Bay Academy,License,25172,Sarah N Lawrence,Child Care Center,438 Market Place Drive,Summerville,SC,29486,Berkeley,(843)-899-0602,,,170,False,False,False,False
CaNihja Simon,License,26075,"CaNihja Simon ",Family Child Care Home,2821 Irby Road,WALLACE,SC,29596,Marlboro,(843)-439-4518,,,5,False,False,False,False
Carisma Legette,Registration,26142,"Carisma Legette ",Family Child Care Home,1516 Eaddy Court,MARION,SC,29571,Marion,(843)-289-7746,,,6,False,False,False,False
Carla Champion,Registration,25946,"Carla Champion ",Family Child Care Home,1944 Sol Legare Rd,CHARLESTON,SC,29412,Charleston,(864)-441-3453,,,6,False,False,False,False
Carmelita Douzart,License,15905,"Carmelita Douzart ",Group Child Care Home,1222 Six Mile Road,Mount Pleasant,SC,29466,Charleston,(843)-881-7491,,,12,False,False,False,False
Carmen Patrice Jefferson,Registration,24840,Carmen Jefferson Patrice,Family Child Care Home,"207 Cypress Forest DR. ",MONCKS CORNER,SC,29461,Berkeley,(843)-499-8406,,,6,False,False,False,False
Carol Jenkins Carlow,Registration,21045,Carol Carlow Jenkins,Family Child Care Home,3427 Creola Road,NORTH CHARLESTON,SC,29420,Charleston,(843)-640-3275,,,6,False,False,False,False
Carolina Bay Child Development Center,Registration,356,Mary Kathryn Cox,Child Care Center,2927 Savannah Hwy,CHARLESTON,SC,29414,Charleston,(843)-766-9707,,,97,False,False,False,False
Carolina Christian Academy,Registration,807,Trina Mills,Child Care Center,1850 Kershaw Camden Highway,LANCASTER,SC,29720,Lancaster,(803)-285-5565,,,200,False,False,False,False
Carolina CORE Development Center,License,26135,Erica Green-Foy,Child Care Center,1920 Reynolds Ave.,NORTH CHARLESTON,SC,29405,Charleston,(843)-469-1726,,,40,False,False,False,False
"Carolina Girls & Barefoot Boys ",License,23056,"Caroline Elizabeth Beasley, Melina Gulledge",Child Care Center,943 W. Carolina Avenue,HARTSVILLE,SC,29550,Darlington,(843)-917-0207,,,35,False,False,False,False
Carolina Kids Child Development Center,License,23728,Savannah W Joyner,Child Care Center,2331 Ebenezer Road,Rock Hill,SC,29732,York,(803)-325-7711,,,291,False,True,False,False
Carolina Kids Child Development Center II,License,23729,Stephanie N Prendergast,Child Care Center,2850 Old Nations Road,Fort Mill,SC,29715,York,(803)-802-4400,,,327,False,True,False,False
Carolina Prep,License,22548,Christopher Charles Huff,Child Care Center,212 Roper Mountain Rd. Ext.,GREENVILLE,SC,29615,Greenville,(864)-385-6020,,,219,False,False,False,False
Carolyn Cameron,Registration,25731,"Carolyn Cameron ",Family Child Care Home,1420 Crown Dale Drive,SUMTER,SC,29150,Sumter,(803)-847-4061,,,5,False,False,False,False
Carolyn Nisly,Registration,25724,"Carolyn Nisly ",Family Child Care Home,222 Beltline Road,ABBEVILLE,SC,29620,Abbeville,(864)-378-5370,,,6,False,False,False,False
Carolyn Revere,Registration,23388,"Carolyn Revere ",Family Child Care Home,2840 Cliffside Circle,COLUMBIA,SC,29209,Richland,(803)-740-2128,,,5,False,False,False,False
Carousel Early Childhood Center,License,14748,Jill Christina Weeks,Child Care Center,1083 Jenkins Road,CHARLESTON,SC,29407,Charleston,(843)-763-2378,,,116,False,False,False,False
Casa dei Girasoli Montessori School,License,26198,Aliza F MacClellan,Child Care Center,"8600 Dorchester Rd,Bldg 300",NORTH CHARLESTON,SC,29420,Dorchester,(843)-879-8396,,,60,False,False,False,False
Cassie Nicole Posey,Registration,23638,Cassie Posey Nicole,Family Child Care Home,11900 Belton Honea Path Highway,HONEA PATH,SC,29654,Anderson,(864)-617-8551,,,6,False,False,False,False
Cathedral Academy,Registration,816,Erica Mason,Child Care Center,3790 Ashley Phosphate Rd.,NORTH CHARLESTON,SC,29418,Dorchester,(843)-760-1454,,,409,False,False,False,False
Catherine Matthews,License,26071,"Catherine Matthews ",Family Child Care Home,1819 Oakridge Drive,DILLON,SC,29536,Dillon,(843)-506-1267,,,5,False,False,False,False
Catherine Reid,Registration,25629,"Catherine Reid ",Family Child Care Home,125 Harris Street,CHESTER,SC,29706,Chester,(803)-374-1214,,,6,False,False,False,False
Catherine Wilson,Registration,10578,"Catherine Wilson ",Family Child Care Home,616 W. Sumter Street,FLORENCE,SC,29501,Florence,(843)-662-0202,,,6,False,False,False,False
Cathleen Williams Paxton,Registration,25633,Cathleen Paxton Williams,Family Child Care Home,1105 Valhalla Drive,COLUMBIA,SC,29229,Richland,(803)-509-0003,,,5,False,False,False,False
Cayce Montessori School,License,26058,Vijayashree Saravanan,Child Care Center,1000 Poplar Street,CAYCE,SC,29033,Lexington,(803)-361-2685,,,60,False,False,False,False
Cedar Grove Education & Care,Registration,102,"Mary Burnley, Lethia Smith",Child Care Center,13026 Highway 20,BELTON,SC,29627,Anderson,(864)-847-9424,,,177,False,False,False,False
"Cedar View Child Development and Learning Center, LLC",License,25353,Jillian Goff,Child Care Center,4314 Ninety Six Highway,NINETY SIX,SC,29666,Greenwood,(864)-543-2062,,,60,False,False,False,False
Celebration Christian Preschool,Registration,24434,Linda Vaughn,Child Care Center,1441 Jonesville Road,SIMPSONVILLE,SC,29681,Greenville,(864)-688-2900,,,81,False,False,False,False
Celebration Presbyterian Preschool,Registration,22470,Susan Spraker,Child Care Center,2300 Carolina Forest Blvd.,MYRTLE BEACH,SC,29579,Horry,(843)-903-3211,,,76,False,False,False,False
Celestine Fleming,Registration,25688,"Celestine Fleming ",Family Child Care Home,9745 Lynches River Road,LYNCHBURG,SC,29080,Sumter,(803)-229-0914,,,5,False,False,False,False
"Center for Learning, Inc",License,18069,Deirdre Lynne Niblock,Child Care Center,2729 Covenant Road,COLUMBIA,SC,29204,Richland,(803)-254-0068,,,214,False,True,False,False
Centerpoint Learning Center previously Remount Baptist Day Care,License,11964,Cynthia D Washington,Child Care Center,1520 Remount Road,CHARLESTON,SC,29406,Charleston,(843)-747-7403,,,214,False,True,False,False
Central Baptist Preschool & Kindergarten,Registration,25463,Penny Weatherford,Child Care Center,512 Spring Street,DARLINGTON,SC,29532,Darlington,(843)-393-8581,,,94,False,False,False,False
Central Presbyterian Preschool,Registration,319,"Shirley Stayanoff, Lisa Moorhead",Child Care Center,1404 N Blvd,Anderson,SC,29621,Anderson,(864)-225-0515,,,140,False,False,False,False
Central United Methodist Church Preschool,Registration,24680,Jennifer Walters,Child Care Center,265 W. Cheves Street,FLORENCE,SC,29501,Florence,(843)-664-0056,,,163,False,False,False,False
Chandra Selby Randolph,Registration,25202,Chandra Randolph Selby,Family Child Care Home,122 Big Game Loop,COLUMBIA,SC,29229,Richland,(803)-462-0726,,,5,False,False,False,False
Charles Towne Montessori School,License,13782,Nancy Ellen Fowler,Child Care Center,56 Leinbach Drive,CHARLESTON,SC,29407,Charleston,(843)-571-1140,,,256,False,False,False,False
Charleston Catholic School,Registration,18332,,Child Care Center,888A King St.,Charleston,SC,29403,Charleston,(843)-577-4495,,,20,False,False,False,False
Charleston Center,Approval,25716,Shari G Harrison,Child Care Center,"3685 Rivers Ave,Suite 301",NORTH CHARLESTON,SC,29405,Charleston,(843)-958-3511,,,43,False,False,False,False
"Charleston Collegiate School, Early Childhood",License,25737,Alicia Anne Wilson FaJohn,Child Care Center,"2024 Academy Drive ",JOHNS ISLAND,SC,29455,Charleston,(843)-559-5506,,,67,False,False,False,False
Charleston Progressive Academy,Approval,25675,Wanda Sheats,Child Care Center,"382 Meeting Street ",CHARLESTON,SC,29403,Charleston,(843)-270-2967,,,50,False,False,False,False
Charmaine Long,Registration,25533,"Charmaine Long ",Family Child Care Home,"307 Yellow Jasmine Dr. ",SENECA,SC,29678,Oconee,(864)-324-2095,,,6,False,False,False,False
Cherokee Charter Academy,Approval,25851,Sharon Strickland,Child Care Center,3206 Cherokee Ave,GAFFNEY,SC,29340,Cherokee,(864)-489-7192,,,66,False,True,False,False
Cherrie Burgess,Registration,9756,"Cherrie Burgess ",Family Child Care Home,409 Bridgestone Street,LAKE CITY,SC,29560,Florence,(843)-394-1528,,,6,False,False,False,False
Cheryl Hampton,Registration,26122,"Cheryl Hampton ",Family Child Care Home,119 Nimmons Rd,ORANGEBURG,SC,29118,Orangeburg,(803)-387-1054,,,6,False,False,False,False
Cheryl Kreider,Registration,25152,"Cheryl Kreider ",Family Child Care Home,9 Twill Court,IRMO,SC,29063,Richland,(803)-341-1763,,,5,False,False,False,False
Cheryl Whetsel,Registration,18160,"Cheryl Whetsel ",Family Child Care Home,170 Hidden Bay Drive,SUMTER,SC,29154,Sumter,(803)-469-0613,,,6,False,False,False,False
Chesterbrook Academy,License,15495,Jessica Nicole Goodwin,Child Care Center,1050 Wildwood Centre Drive,COLUMBIA,SC,29229,Richland,(803)-699-9988,,,260,False,False,False,False
Chesterbrook Academy,License,15684,Tiffany Simmons,Child Care Center,1212 Two Island Court,MOUNT PLEASANT,SC,29466,Charleston,(843)-849-6439,,,253,False,False,False,False
Child Development Center on Herlong,License,24205,Brenda G Tucker,Child Care Center,481 South Herlong Avenue,ROCK HILL,SC,29732,York,(803)-328-9020,,,186,False,False,False,False
"Children's Cove, LLC",License,17779,Lori Jean Bethel,Child Care Center,50 Rayhill Road,MOORE,SC,29369,Spartanburg,(864)-486-1993,,,91,False,False,False,False
Children's Discovery Center,License,24989,Alexandra Hewson,Child Care Center,3300 Stockdale St.,Mount Pleasant,SC,29466,Charleston,(843)-936-3099,,,253,False,False,False,False
Children's Discovery Center,License,24988,Katherine Carter,Child Care Center,1110 Venning Rd,Mount Pleasant,SC,29464,Charleston,(843)-388-6700,,,201,False,False,False,False
Chosen One Christian Child Care Center,License,24461,Shaleea Heyward,Child Care Center,415 Bellinger Hill Rd,Hardeeville,SC,29927,Jasper,(843)-784-6556,,,22,False,False,False,False
