Certificate Number,Account Name,Type,Status,Certificate Effective Date,Certificate Expiration Date,Physical County,Physical Street,Physical City,Physical State/Province,Physical Zip/Postal Code,Phone,Capacity-Infants,Capacity-One-Year-Olds,School Aged,Capacity-Total Licensed,License Tier,Approved To,
0020064CGHGG57673628,Locd In Love Academy LLC,Child Care Group Home,Active,9/1/2023,8/31/2024,Maricopa,4632 North Guadal Drive,Phoenix,AZ,85037,(623)4408387,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Weekend Care; Evening/Nighttime Care,
SGH-15551,Loidas Child Care,Child Care Group Home,Active,2/1/2024,1/31/2025,PIMA,1390 N La Canoa,Green Valley,AZ,85614,5208786003,0,0,Licensed,6,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care,
CDC-13286,Lomeli's Childcare Center,Child Care Center,Active,4/1/2022,3/31/2025,COCHISE,1240 East 23rd Street,Douglas,AZ,85607,5203643007,16,16,Licensed,58,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-18709,Lomelis Too,Child Care Center,Active,9/1/2023,8/31/2024,COCHISE,1860 8th Street,Douglas,AZ,85607,5208053007,0,0,Licensed,105,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-12116,Lord Of Grace Lutheran Church,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,7250 North Cortaro Road,Tucson,AZ,85743,5207447400,0,0,,59,11-59 licensed capacity,Part Day Care; Two-year-old Care; 3/4/5-year-old Care,
SGH-9469,Loreto Child Care,Child Care Group Home,Active,2/1/2024,1/31/2025,PIMA,75 North Grande Avenue,Tucson,AZ,85745,5206238508,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-15412,Los Amigos Child Care And Activity Center,Child Care Center,Active,4/30/2022,4/30/2025,PIMA,1300 West St Marys Rd,Tucson,AZ,85745,5202022286,0,5,Licensed,25,11-59 licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Evening/Nighttime Care,
SGH-19184,Los Carritos Childcare,Child Care Group Home,Active,1/10/2022,12/31/2024,PIMA,2691 East Calle Tobo,Tucson,AZ,85706,5206124095,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-15936,Los Ninos Daycare,Child Care Center,Active,8/1/2024,7/31/2025,PINAL,327 S Alta Vista,San Manuel,AZ,85631,5207806186,0,10,Licensed,10,5-10 licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-16022,Los Ninos Del Valle Preschool & Child Care Center,Child Care Center,Active,10/1/2023,9/30/2024,PIMA,780 S Park Centre Ave,Green Valley,AZ,85614,5203936815,0,28,Licensed,112,60+ licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-15090,Lourdes Catholic School,Child Care Center,Active,10/1/2021,9/30/2024,SANTA CRUZ,555 Patagonia Highway,Nogales,AZ,85621,5202875659,0,0,,30,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-18204,Lovable Kids Kare Mesa,Child Care Center,Active,6/1/2024,5/31/2025,MARICOPA,925 North Orange,Mesa,AZ,85201,4808342221,13,12,Licensed,65,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Weekend Care; Evening/Nighttime Care,
CDC-13335,Love & Laugh Learning Center,Child Care Center,Active,9/1/2023,8/31/2024,MARICOPA,21805 South Ellsworth Road,Queen Creek,AZ,85142,4808889545,5,6,Licensed,49,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-2034,Love Of Christ Preschool,Child Care Center,Active,9/1/2023,8/31/2024,MARICOPA,1525 North Power Road,Mesa,AZ,85205,4806810937,0,0,,106,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-17635,Love This Day School,Child Care Center,Active,6/1/2022,5/31/2025,PIMA,4517 East 29th Street,Tucson,AZ,85711,5207481605,0,0,Licensed,55,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
SGH-17226,Loving And Learning Child Care,Child Care Group Home,Active,4/1/2024,3/31/2025,MARICOPA,9402 North 54th Avenue,Glendale,AZ,85302,6234181733,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care,
CDC-10913,Loving Care Day Care Center,Child Care Center,Active,4/30/2022,4/30/2025,MARICOPA,150 North Central Avenue,Avondale,AZ,85323,6239325190,16,18,Licensed,147,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-9141,Loving Care Day Care I I,Child Care Center,Active,2/1/2022,1/31/2025,MARICOPA,300 North Central Avenue,Avondale,AZ,85323,6239320616,0,0,Licensed,51,11-59 licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-19159,Loving Hands Early Childhood Learning Academy LLC,Child Care Center,Active,10/26/2021,9/30/2024,PIMA,920 North Swan Road,Tucson,AZ,85711,520-747-1153,0,0,Licensed,45,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Evening/Nighttime Care,
0020089CGHDY08545647,Loving Hearts Child Center,Child Care Group Home,Active,2/16/2024,2/15/2025,Maricopa,7618 West Miami Street,Phoenix,AZ,85043,602 290-9632,0,0,,5,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
SGH-18504,Lucero & Cynthia's Childcare,Child Care Group Home,Active,4/1/2022,3/31/2025,COCHISE,3716 South Rodriguez Avenue,Naco,AZ,85620,5204324762,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Weekend Care; Evening/Nighttime Care,
SGH-18569,Lucky Child Care,Child Care Group Home,Active,8/1/2024,7/31/2025,MARICOPA,130 East Havasu Place,Chandler,AZ,85249,6066278684,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care,
SGH-10280,Luz Child Care,Child Care Group Home,Active,1/1/2024,12/31/2024,PIMA,2217 East Walnut,Tucson,AZ,85706,5203891253,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care; Evening/Nighttime Care,
0020055CGHWS92862695,Luz de Arcoiris,Child Care Group Home,Active,7/24/2024,7/23/2025,Santa Cruz,2830 North Bitache Drive,Nogales,AZ,85621,520-988-2777,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020110CGHIJ88700103,Luz de arcoíris #2,Child Care Group Home,Active,5/8/2024,5/7/2025,Pima,6518 South Diablo Drive,Tucson,AZ,85757,520-604-7475,0,0,,10,1-10 licensed capacity,Full-Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
0020073CGHCT89450490,Luz Luna,Child Care Group Home,Active,10/31/2023,10/30/2024,Yuma,1514 E San Francisco St,San Luis,AZ,85349,(928) 285-3304,0,0,Licensed,5,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
SGH-17761,Lydia's Daycare,Child Care Group Home,Active,10/1/2023,9/30/2024,YUMA,1702 West 1st Street,Yuma,AZ,85364,9287835743,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care,
SGH-18324,Lydia's Family Daycare,Child Care Group Home,Active,7/1/2024,6/30/2025,COCHISE,713 West Grant,Willcox,AZ,85643,5203842603,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Weekend Care; Evening/Nighttime Care,
SGH-17656,"Lynda's Daycare, L.L.C.",Child Care Group Home,Active,5/31/2022,5/31/2025,MARICOPA,891 South 130th Street,Gilbert,AZ,85233,4802484860,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care,
CDC-19214,M.C.O.B.#90 - Mary C. O'brien Elementary School,Child Care Center,Active,7/21/2024,7/20/2025,APACHE,1400 North Eleven Mile Corner Road,Casa Grande,AZ,85194,5204504400,0,0,,39,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-17583,M.C.S.D.#10 - Maine Consolidated School District,Child Care Center,Active,5/1/2022,4/30/2025,COCONINO,10 North Valley Road,Parks,AZ,86018,9286352115,0,0,Licensed,21,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-6237,M.E.S.D.#38 - Camelview- E C P / M A C,Child Care Center,Active,1/1/2024,12/31/2024,MARICOPA,2002 East Campbell Avenue,Phoenix,AZ,85016,6026647228,0,0,Licensed,265,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-6238,M.E.S.D.#38 - Heights E C P / M A C,Child Care Center,Active,1/1/2024,12/31/2024,MARICOPA,7150 North 22nd Street,Phoenix,AZ,85020,6026647870,0,0,,265,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-6239,M.E.S.D.#38 - Madison #1 M A C,Child Care Center,Active,9/1/2023,8/31/2024,MARICOPA,5525 North 16th Street,Phoenix,AZ,85016,6026647170,0,0,Licensed,525,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-6247,M.E.S.D.#38 - Park M A C / E C P,Child Care Center,Active,1/1/2024,12/31/2024,MARICOPA,1431 East Campbell Avenue,Phoenix,AZ,85014,6026647570,0,0,Licensed,385,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-6236,M.E.S.D.#38 - Rose Lane M A C / E C P,Child Care Center,Active,11/1/2023,10/31/2024,MARICOPA,1155 East Rose Lane,Phoenix,AZ,85014,6026647470,0,0,Licensed,325,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-6241,M.E.S.D.#38 - Simis E C P / M A C,Child Care Center,Active,9/1/2023,8/31/2024,MARICOPA,7302 North 10th Street,Phoenix,AZ,85020,6026647370,0,0,,425,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-18668,M.P.A. - Chandler,Child Care Center,Active,7/1/2022,6/30/2025,MARICOPA,4970 West Ray Road,Chandler,AZ,85226,4807773898,28,33,Licensed,256,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-17687,M.P.A. - Dobson L.L.C.,Child Care Center,Active,6/30/2022,6/30/2025,MARICOPA,2750 South Dobson Road,Mesa,AZ,85202,4804560455,10,15,Licensed,161,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-17551,M.S.D.#18 - Wildkitten Den,Child Care Center,Active,4/30/2022,4/30/2025,GREENLEE,301 Plaza Drive,Morenci,AZ,85540,(928) 865-0631,16,15,Licensed,115,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-12488,M.S.D.#75 - Morristown School District #75,Child Care Center,Active,2/1/2024,1/31/2025,MARICOPA,25950 Rockaway Hills Road,Morristown,AZ,85342,6235465100,0,0,,10,5-10 licensed capacity,Part Day Care; 3/4/5-year-old Care,
CDC-18373,M.S.M.U.S.D.#8 - Mammoth - San Manuel Preschool,Child Care Center,Active,9/1/2021,8/31/2024,PINAL,711 Mcnab Parkway,San Manuel,AZ,85631,5203852336,0,0,,45,11-59 licensed capacity,Part Day Care; 3/4/5-year-old Care,
CDC-19119,M.U.S.D.#20 - Butterfield Elementary,Child Care Center,Active,8/1/2024,7/31/2025,PINAL,43800 West Honeycutt Road,Maricopa,AZ,85138,5205686100,0,0,,64,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020023CDCOD96525997,M.U.S.D. #20 - Maricopa Elementary,Child Care Center,Active,8/24/2023,8/23/2024,Pinal,18150 N Alterra Pkwy,Maricopa,AZ,85139,520-568-5160,0,0,,59,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
0020022CDCSN29592743,M.U.S.D. #20 - Pima Butte Elementary,Child Care Center,Active,8/24/2023,8/23/2024,Pinal,42202 W Rancho El Dorado Pkwy,Maricopa,AZ,85138,520-568-7150,0,0,,59,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
0020024CDCBW35945906,M.U.S.D. #20 - Saddleback Elementary,Child Care Center,Active,8/24/2023,8/23/2024,Pinal,18600 N Porter Rd,Maricopa,AZ,85138,520-568-5100,0,0,,59,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-18519,M.U.S.D.#20 - Santa Cruz Elementary,Child Care Center,Active,4/1/2021,3/31/2025,PINAL,19845 North Costa Del Sol Boulevard,Maricopa,AZ,85138,520-568-5100,0,0,,59,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-18521,M.U.S.D.#20 - Santa Rosa Elementary,Child Care Center,Active,3/1/2022,3/31/2025,PINAL,21400 North Santa Rosa Drive,Maricopa,AZ,85138,520-568-5100,0,0,Licensed,245,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-11043,M.U.S.D.#40 - Little Vandal Preschool,Child Care Center,Active,1/1/2022,12/31/2024,GILA,4635 B East Ragus Road,Miami,AZ,85539,9284253271,0,0,,88,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-19106,M.U.S.D.#4 - Bush Elementary,Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,4925 East Ingram Street,Mesa,AZ,85205,480-472-7266,0,0,,59,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-11436,M.U.S.D.#4 - Coyote Kids Child Development Center,Child Care Center,Active,3/1/2024,2/28/2025,MARICOPA,845 South Crismon Road,Mesa,AZ,85208,4804729530,0,0,,30,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-7565,M.U.S.D.#4 - Dobson High Mini Mustangs,Child Care Center,Active,3/31/2022,3/31/2025,MARICOPA,1501 West Guadalupe Road,Mesa,AZ,85202,480-472-7261,0,0,,25,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-6377,M.U.S.D.#4 - Hermosa Vista Kinderu,Child Care Center,Active,2/1/2024,1/31/2025,MARICOPA,2626 North 24th Street,Mesa,AZ,85210,4804727556,0,0,,25,11-59 licensed capacity,Part Day Care; 3/4/5-year-old Care,
CDC-12429,M.U.S.D.#4 - Mesa High Preschool Lab,Child Care Center,Active,4/1/2024,3/31/2025,MARICOPA,1630 East Southern Avenue,Mesa,AZ,85204,480-472-7261,0,0,,25,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-7564,M.U.S.D.#4 - Red Mountain Child Development Lab,Child Care Center,Active,3/31/2022,3/31/2025,MARICOPA,7301 East Brown Road,Mesa,AZ,85207,480-472-7261,0,0,,25,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-6371,M.U.S.D.#4 - Red Mountain Ranch Kinderu,Child Care Center,Active,1/1/2024,12/31/2024,MARICOPA,6650 East Raftriver Street,Mesa,AZ,85215,4804727261,0,0,,115,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-18882,M.U.S.D.#4 - Sirrine Kinderu,Child Care Center,Active,9/1/2023,8/31/2024,MARICOPA,591 West Mesquite Street,Chandler,AZ,85225,4804727261,0,0,,243,60+ licensed capacity,Part Day Care; 3/4/5-year-old Care,
0020254CDCMY37857616,M.U.S.D.#4 - Zaharis KinderU,Child Care Center,Active,7/1/2024,6/30/2025,Maricopa,9410 East Mckellips Road,Mesa,AZ,85207,480-3087200,0,0,,25,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-7862,M.U.S.D.#6 - Butterfield  L.E.A.P.,Child Care Center,Active,9/1/2023,8/31/2024,PIMA,3400 West Massingale Road,Tucson,AZ,85741,5203522421,0,0,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-10155,M.U.S.D.#6 - Coyote Trail L.E.A.P. & Preschool,Child Care Center,Active,3/1/2024,2/28/2025,PIMA,8000 North Silverbell Road,Tucson,AZ,85743,5203522421,0,0,Licensed,265,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-7863,M.U.S.D.#6 - De Grazia L.E.A.P. & Preschool,Child Care Center,Active,9/1/2023,8/31/2024,PIMA,5051 West Overton Road,Tucson,AZ,85742,5203522421,0,0,Licensed,85,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-18624,M.U.S.D.#6 - Dove Mountain C-S.T.E.M. K-8 E.C.E. & L.E.A.P.,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,5650 West Moore Road,Marana,AZ,85658,5206164506,0,0,Licensed,175,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-18726,M.U.S.D.#6 - Dr. Marianna Valdez P.A.L. Preschool,Child Care Center,Active,11/1/2023,10/31/2024,PIMA,7651 North Oldfather Road,Tucson,AZ,85741,5206824815,0,0,,285,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-12922,M.U.S.D.#6 - Estes L.E.A.P. & Preschool,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,11280 West Grier Road,Marana,AZ,85653,5203522421,0,0,Licensed,176,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-17706,M.U.S.D.#6 - Gladden Farms L.E.A.P. & Preschool,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,11745 West Gladden Farms Drive,Marana,AZ,85653,5206821180,0,0,Licensed,255,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-7869,M.U.S.D.#6 - Ironwood L.E.A.P. & Preschool,Child Care Center,Active,8/1/2022,7/31/2025,PIMA,3300 West Freer Drive,Tucson,AZ,85741,5203522421,0,0,Licensed,79,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-18733,M.U.S.D.#6 - Picture Rocks L.E.A.P. & Preschool,Child Care Center,Active,10/1/2023,9/30/2024,PIMA,5875 North Sanders Road,Tucson,AZ,85743,5206164506,0,0,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-7864,M.U.S.D.#6 - Quail Run L.E.A.P. & Preschool,Child Care Center,Active,7/31/2022,7/31/2025,PIMA,4600 West Cortaro Farms Rd,Tucson,AZ,85741,5203522421,0,0,Licensed,102,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-13611,M.U.S.D.#6 - Rattlesnake Ridge L.E.A.P. & Preschool,Child Care Center,Active,8/1/2022,7/31/2025,PIMA,8500 Continental Reserve Loop,Tucson,AZ,85743,5203522421,0,0,Licensed,120,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-7983,M.U.S.D.#6 - Roadrunner L.E.A.P. & Preschool,Child Care Center,Active,10/1/2023,9/30/2024,PIMA,16651 West Calle Carmela,Marana,AZ,85653,5203522421,0,0,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-6486,M.U.S.D.#6 - Tiger Cub Learning Center,Child Care Center,Active,9/1/2023,8/31/2024,PIMA,12000 West Emigh Road,Tucson,AZ,85743,5206166400,9,14,,48,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-9627,M.U.S.D.#6 - Twin Peaks L.E.A.P.,Child Care Center,Active,7/31/2022,7/31/2025,PIMA,7995 West Twin Peaks Road,Tucson,AZ,85743,5203522421,0,0,Licensed,130,60+ licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-17360,M.V.S.D.#16 - Fort Mohave Elementary,Child Care Center,Active,7/1/2024,6/30/2025,MOHAVE,1760 Joy Lane,Fort Mohave,AZ,86426,9287683986,0,0,,59,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
SGH-18848,M & M Childcare,Child Care Group Home,Active,5/1/2024,4/30/2025,PIMA,3432 South Bradford Drive,Tucson,AZ,85735,5209758694,0,0,,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; Weekend Care; Evening/Nighttime Care,
CDC-14465,Ma'am Childcare And Preschool,Child Care Center,Active,12/1/2023,11/30/2024,MARICOPA,2710 West Southern Avenue,Phoenix,AZ,85041,6022681245,10,16,Licensed,92,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-0739,Madison Christian Children's Center,Child Care Center,Active,1/1/2024,12/31/2024,MARICOPA,6202 North 12th Street,Phoenix,AZ,85014,6022657885,0,0,Licensed,138,60+ licensed capacity,Full-Day Care; Part Day Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
SGH-19093,Madrid Family Child Care,Child Care Group Home,Active,7/1/2024,6/30/2025,MARICOPA,30535 West Weldon Avenue,Buckeye,AZ,85396,9096949842,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-17259,Magical Journey Learning Center,Child Care Center,Active,6/1/2024,5/31/2025,MARICOPA,1241 East Chandler Blvd #115,Phoenix,AZ,85048,4806996552,0,18,Licensed,102,60+ licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-13919,Magical Star Preschool,Child Care Center,Active,2/1/2024,1/31/2025,MARICOPA,2232 North 36th Street,Phoenix,AZ,85008,6022671539,10,10,Licensed,88,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-16348,Magic Keys To Learning Children's Development Center,Child Care Center,Active,2/1/2022,1/31/2025,MARICOPA,3450 East Van Buren Street,Phoenix,AZ,85008,6022252543,5,13,Licensed,89,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020067CGHGK19649144,Magic Kids Child Care LLC,Child Care Group Home,Active,9/15/2023,9/14/2024,Santa Cruz,369 Paseo Enebro,Rio Rico,AZ,85648,9153156399,0,0,,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; Weekend Care,
SGH-10928,Magic Rainbow,Child Care Group Home,Active,2/1/2022,1/31/2025,YUMA,4329 West 20th Place,Yuma,AZ,85364,9283296369,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-17814,Mandarin Montessori Academy,Child Care Center,Active,1/1/2024,12/31/2024,MARICOPA,1230 East Guadalupe Road,Tempe,AZ,85283,480-519-3315,0,14,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020247CDCRR14186412,Manzanita School Head Start,Child Care Center,Active,6/26/2024,6/25/2025,Maricopa,8430 North 39th Avenue,Phoenix,AZ,85051,602-347-4806,0,0,,32,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-17047,Maple Bear Tempe Early Learning Center,Child Care Center,Active,12/1/2023,11/30/2024,MARICOPA,1255 West Elliot Road,Tempe,AZ,85284,4804744455,22,26,,155,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-14048,Maranatha Child Care Center,Child Care Center,Active,12/1/2023,11/30/2024,MARICOPA,3002 North 27th Avenue,Phoenix,AZ,85017,6027120793,5,48,Licensed,170,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-9349,Maranatha Day Care Center,Child Care Center,Active,10/1/2023,9/30/2024,MARICOPA,3526 West Polk Street,Phoenix,AZ,85009,6024770100,9,36,Licensed,263,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
SGH-15779,Maria's Day Care,Child Care Group Home,Active,8/1/2024,7/31/2025,COCHISE,2101 13th St,Douglas,AZ,85607,5203641244,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care; Evening/Nighttime Care,
0020115CGHZO92849992,MARIA GARCIA,Child Care Group Home,Active,6/17/2024,6/16/2025,Pima,1730 East Alaska Street,Tucson,AZ,85706,520-326-9495,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-15485,Maricopa County Human Serv Head Start Zero - Five Care Partnership (EHS),Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,466 South Bellview Street,Mesa,AZ,85204,602-372-3780,0,8,,28,11-59 licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-17983,Maricopa County Human Services - Adams Head Start,Child Care Center,Active,7/1/2024,6/30/2025,MARICOPA,738 South Longmore,Mesa,AZ,85202,480-464-7075,0,0,,22,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
0020179CDCTF31757913,Maricopa County Human Services - Best Years Head Start,Child Care Center,Active,9/22/2023,9/21/2024,Maricopa,14140 West Mcdowell Road,Goodyear,AZ,85395,6023729766,0,0,,28,11-59 licensed capacity,Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
