Program Name,Provider Enrollment Status,Program Phone,Program Email,Region,County,Shipping Street,Shipping City,Shipping State,Shipping Zip,Billing Street,Billing City,Billing State,Billing Zip,Account Record Type,GSQ Approved Step,License Number,License Issue Date,License Expiration Date,Capacity,Age Weeks Low,Age Months Low,Age Years Low,Age Years High,Program Type,
"Kingston Children's Center","","(603) 642-3200","jemima.chapman@kccnh.org","","","12 Church Street","Kingston","New Hampshire","03848","","","","","Licensed Group Child Care Program","Step 3","","","","68","","","","","",""
"Kwiatkowski's Little Flowers","","(603) 320-2826","kslittleflowers@yahoo.com","","","21 Tanglewood Way","Merrimack","New Hampshire","03054","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Lakes Region Family Center/Head Start/Early Head Start","","(603) 528-5334","kjackman@capbm.org","","","121 Belmont Road","Laconia","New Hampshire","03246","","","","","Licensed Group Child Care Program","Step 3","","","","106","","","","","",""
"Learn As We Play Child Care Center","","(603) 668-3674","learnasweplayoffice@gmail.com","","","276 Goffstown Back Road","Goffstown","New Hampshire","03045","","","","","Licensed Group Child Care Program","Step 2","","","","94","","","","","",""
"Learning Adventures Early Childhood Center","","(603) 669-2811","info@learningadventuresnh.com","","","51 Old Bedford Road","Bedford","New Hampshire","03110","","","","","Licensed Group Child Care Program","","","","","35","","","","","",""
"Learning By The Lakes Academy","","(603) 527-8084","katie@learningbythelakes.com","","","2 Airport Road","Gilford","NH","03249","","","","","Licensed Group Child Care Program","","","","","180","","","","","",""
"Lee Hill Early Learning Center","","(603) 659-3456","leehillelc@gmail.com","","","17 Mast Road","Lee","New Hampshire","03861","","","","","Licensed Group Child Care Program","","","","","30","","","","","",""
"Li'l Einstein's Child Care","","(603) 832-3877","p_carlisle@verizon.net","","","24 Farrarville Road","Belmont","New Hampshire","03220","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Lily Pad Learning Center","","(978) 206-1205","info@lilypadclinical.com","","","41 Commerce Way","Barrington","NH","03825","","","","","Licensed Group Child Care Program","","","","","18","","","","","",""
"Linked Together","","(603) 498-0928","simbaree@myfairpoint.net","","","243 South Main Street","Newmarket","NH","03857","","","","","Licensed Group Child Care Program","","","","","90","","","","","",""
"Lisa's Family Day Care","","(603) 512-4484","iluvkdz@comcast.net","","","181 Woodbine Avenue","Manchester","New Hampshire","03109","","","","","Licensed Family Child Care Program","Step 1","","","","9","","","","","",""
"Little Antlers Learning Center","","(603) 536-3898","amurphy@midstatehealth.org","","","742 Tenney Mountain Highway","Plymouth","New Hampshire","03264","","","","","Licensed Group Child Care Program","","","","","97","","","","","",""
"Little Apples Day Care & Learning Center","","(603) 625-2273","littleapplesoffice@gmail.com","","","1160 Hooksett Road","Hooksett","New Hampshire","03106","","","","","Licensed Group Child Care Program","Step 2","","","","80","","","","","",""
"Little Arrows Child Care Services","","(603) 673-7975","lorraine.thibodeau@littlearrows.org","","","365 South Street","Milford","New Hampshire","03055","","","","","Licensed Group Child Care Program","","","","","52","","","","","",""
"Little Beginnings","","(603) 824-6067","lbllc2024@gmail.com","","","27 Roulston Rd","Windham","NH","03087","","","","","Licensed Group Child Care Program","","","","","56","","","","","",""
"Little Beginnings Early Learning Center","","(603) 965-3363","lbelc@yahoo.com","","","35 Manchester Road, Unit 12","Derry","New Hampshire","03038","","","","","Licensed Group Child Care Program","","","","","135","","","","","",""
"Little Beginnings of Windham","","(603) 328-8483","lbelc@outlook.com","","","63 Range Road, Unit 203","Windham","New Hampshire","03087","","","","","Licensed Group Child Care Program","","","","","67","","","","","",""
"Little Beginnings Schoolhouse","","(603) 400-9040","emalee.trudell@littlebeginningsschoolhouse.com","","","22 Proctor Hill Road","Hollis","NH","03049","","","","","Licensed Group Child Care Program","","","","","31","","","","","",""
"Little Blessings Child Care Center","","(603) 431-1809","dana.lbccc@gmail.com","","","1035 Lafayette Road","Portsmouth","New Hampshire","03801","","","","","Licensed Group Child Care Program","Step 1","","","","71","","","","","",""
"Little Blessings Learning Center @ St. Joseph's Church","","(603) 817-3571","straffordkindercampus@gmail.com","","","844 1st. NH Turnpike","Northwood","New Hampshire","03261","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"Little Explorers Learning Center","","(603) 382-3699","renee@littleexplorersnh.com","","","3 Blossom Road","Plaistow","New Hampshire","03865","","","","","Licensed Group Child Care Program","","","","","44","","","","","",""
"Little Folks Day Care","","(603) 306-6058","bethlittlefolksdaycare@gmail.com","","","30 Shedd Street","Enfield","New Hampshire","03748","","","","","Licensed Family Child Care Program","","","","","16","","","","","",""
"Little Footprints Learning Center","","603.362.4153","jenlevy9@gmail.com","","","6 Main Street","Atkinson","NH","03811","","","","","Licensed Group Child Care Program","","","","","28","","","","","",""
"Little Friends Early Learning Center","","(603) 244-2132","info@littlefriendsearlylearningcenter.com","","","77 Main Street","Raymond","New Hampshire","03077","","","","","Licensed Group Child Care Program","","","","","48","","","","","",""
"Little Frogs & Polliwogs Learning Center","","(603) 669-2695","info@littlefrogsandpolliwogs.com","","","3011 Brown Avenue","Manchester","New Hampshire","03103","","","","","Licensed Group Child Care Program","","","","","117","","","","","",""
"Little Giant Minds","","603-777-7566","littlegiantminds@gmail.com","","","350 Old Rochester Rd","Somersworth","NH","03878","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Little Lamb Nursery","","(603) 743-3102","littlelambnursery@yahoo.com","","","31 Tennyson Avenue","Dover","New Hampshire","03820","","","","","Licensed Group Child Care Program","","","","","30","","","","","",""
"Little Learners Family Center","","603-715-5168","littlelearnersnh@gmail.com","","","3 Garrison Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Little Mountaineers Learning Center","","(774) 329-0397","sarahmarcimo@gmail.com","","","229 Alton Mountain Rd","Alton Bay","NH","03810","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Little Munchkins Learning Center","","(603) 580-2010","littlemunchkinsllc@yahoo.com","","","134 Portsmouth Avenue","Exeter","New Hampshire","03833","","","","","Licensed Group Child Care Program","","","","","22","","","","","",""
"Little Nest Nature School","","(203) 216-1653","littlenestnatureschool@gmail.com","","","30 Grant Rd","Newmarket","NH","03857","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Little Pilgrim School","","(603) 880-9249","info@littlepilgrimschool.org","","","4 Watson Street","Nashua","New Hampshire","03060","","","","","Licensed Group Child Care Program","","","","","48","","","","","",""
"Little Rising Stars Child Care Center","","(603) 644-5437","littlerisingstars.644kids@gmail.com","","","191 South Jewett Street","Manchester","New Hampshire","03103","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"Little Scholars Daycare","","(603) 893-0898","ddicecca@littlescholarsdaycare.com","","","1 Sand Hill Road","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","150","","","","","",""
"Little Sprouts - Merrimack","","(603) 546-7554","bziemba@littlesprouts.com","","","706 Milford Road","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","","","","","126","","","","","",""
"Little Sprouts - Nashua","","(603) 809-4220","pquinn@littlesprouts.com","","","1 Tara Boulevard
Suite 005","Nashua","New Hampshire","03062","","","","","Licensed Group Child Care Program","","","","","63","","","","","",""
"Little Sprouts - Stratham","","(603) 319-4280","koconnor@littlesprouts.com","","","One Portsmouth Avenue
Unit 8","Stratham","New Hampshire","03885","","","","","Licensed Group Child Care Program","","","","","98","","","","","",""
"Little Sprouts Children's Center","","(603) 224-1818","jhunger@littlesproutsllc.com","","","755 Route 3A","Bow","New Hampshire","03304","","","","","Licensed Group Child Care Program","","","","","19","","","","","",""
"Little Treasures","","603-765-5449","djkid51@hotmail.com","","","71 Dublin Avenue","Nashua","New Hampshire","03063","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Little Tree Education - Dover","","","","","","383 Sixth Street","Dover","New Hampshire","03820","","","","","Licensed Group Child Care Program","","","","","105","","","","","",""
"Little Tree Education - Madbury","","","madbury@little-tree.me","","","314 Route 108","Madbury","New Hampshire","03823","","","","","Licensed Group Child Care Program","Step 1","","","","88","","","","","",""
"Little Tree Education - Newmarket","","603-742-8733","newmarket@little-tree.me","","","5 Simons Lane","Newmarket","NH","03857","","","","","Licensed Group Child Care Program","","","","","83","","","","","",""
"Live And Learn At Mastway","","(603) 231-5099","livlrn2@comcast.net","","","23 Mast Road","Lee","New Hampshire","03861","","","","","Licensed Group Child Care Program","","","","","55","","","","","",""
"Live And Learn Early Learning Center","","(603) 659-5047","livlrn2@comcast.net","","","114 Mast Road","Lee","New Hampshire","03861","","","","","Licensed Group Child Care Program","","","","","76","","","","","",""
"Londonderry Learning Academy","","603.316.0420","miranda@londonderrylearningacademy.com","","","28 Buttrick Road","Londonderry","NH","03053","","","","","Licensed Group Child Care Program","","","","","83","","","","","",""
"Lovell Lake Early Learning Center","","603-507-3284","jesangel3@yahoo.com","","","26 High Street","Sanbornville","NH","03872","","","","","Licensed Group Child Care Program","","","","","36","","","","","",""
"M and C Children's Learning Place","","(603) 483-5336","mandcclp@gmail.com","","","205 Main Street","Candia","New Hampshire","03034","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"Maggie's Happy Hens Farm and Forest School","","(802) 216-0728","hello@happyhensfarmandforestschool.org","","","55 Kimball Hill Road","Hillsboro","NH","03244","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Magic Moments Preschool","","(603) 569-4362","tcox@thechildrenscenternh.org","","","396 South Main Street","Wolfeboro","New Hampshire","03894","","","","","Licensed Group Child Care Program","Step 2","","","","20","","","","","",""
"Magical Moments Daycare","","(603) 848-0256","eliza_vandenburgh@yahoo.com","","","97 Ridge Road","Northwood","New Hampshire","03261","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Mami's House","","(603) 630-2135","mamishousecc@gmail.com","","","24 Birchwood Lane","Belmont","NH","03220","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Manchester Boys & Girls Club -Jewett Street School","","(603) 625-5031","gbouch@mbgcnh.org","","","130 South Jewett Street","Manchester","New Hampshire","03103","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"Manchester Child Care Center","","603-782-6565","manchesterchildcarecenter@gmail.com","","","575 South Willow Street Suite 201 & 202","Manchester","NH","03103","","","","","Licensed Group Child Care Program","","","","","21","","","","","",""
"Manchester Child Development Center","","(603) 629-0037","mcdc_news@aol.com","","","2020 Goffs Falls Road","Manchester","New Hampshire","03103","","","","","Licensed Group Child Care Program","","","","","81","","","","","",""
"Marguerite's Place","","(603) 598-1582","cgordon@margueritesplace.org","","","87 Palm Street","Nashua","New Hampshire","03060","","","","","Licensed Group Child Care Program","Step 1","","","","30","","","","","",""
"Marie's Day Care","","(603) 530-1888","mariegcarson@gmail.com","","","137 Berry Farm Road","Alexandria","New Hampshire","03222","","","","","Licensed Family Child Care Program","","","","","16","","","","","",""
"Marissa Wilson","","603-521-4286","sapphirefall@yahoo.com","","","18 West st Apt 7","Newport","NH","03773-1550","","","","","License Exempt Family Child Care Program","","","","","3","","","","","",""
"Mary-Go-Round Childcare Center","","(603) 485-3254","mgornd@comcast.net","","","13 Morgan Drive","Hooksett","New Hampshire","03106","","","","","Licensed Group Child Care Program","Step 3","","","","41","","","","","",""
"Mary's Child Care","","(603) 520-8910","mhpcurtis@gmail.com","","","21 Belknap Mountain Road","Gilford","New Hampshire","03249","","","","","Licensed Family Child Care Program","Step 2","","","","9","","","","","",""
"Melissa Todt's Family Day Care","","(603) 893-6685","j-mtodt@comcast.net","","","3 Shetland Circle","Salem","New Hampshire","03079","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Melissa's Munchkin Land","","603-335-8691","djgraves7@myfairpoint.net","","","14 Washington Street","Rochester","New Hampshire","03867","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Merri-Loo Community Preschool, INC","","(603) 305-8020","merrilooschool@gmail.com","","","87A Center Street","Goffstown","New Hampshire","03045","","","","","Licensed Group Child Care Program","","","","","25","","","","","",""
"Merrimack Valley Day Care Service","","(603) 224-1632","merrimackvalleydaycareservice@gmail.com","","","19 North Fruit Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","80","","","","","",""
"Merrimack Valley Day Care Service @ MCNH","","(603) 796-6467","merrimackvalleydaycareservice@gmail.com","","","333 Daniel Webster Highway","Boscawen","New Hampshire","03303","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"Merrimack Valley Day Care Service @ NH Hospital","","(603) 271-5790","mvdcnhh22@yahoo.com","","","97 Pleasant Street, Thayer Building","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","35","","","","","",""
"Merrimack Valley Day Care Service At Eagle's Bluff","","(603) 225-4305","mariannebarter@gmail.com","","","2 Quincy Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","44","","","","","",""
"Merrimack Valley Montessori School","","603-893-7310","mvms1984@gmail.com","","","111 Lowell Road","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
"Merrimack YMCA Child Care","","(603) 881-7778","ewitmer@nmymca.org","","","6 Henry Clay Drive","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","","","","","460","","","","","",""
"Michele Michaud's Child Care","","(603) 343-2467","vmichaud@comcast.net","","","6 Wallace Drive","Dover","New Hampshire","03820","","","","","Licensed Family Child Care Program","","","","","6","","","","","",""
"Mie Jeanne Maurice","","(603) 461-1057","miejeannemaurice@gmail.com","","","274 Main St  #3","Manchester","New Hampshire","03102","","","","","License Exempt Family Child Care Program","","","","","3","","","","","",""
"Milton Learning Center","","(603) 652-9337","mlclaurie@yahoo.com","","","62 Dawson Street","Milton","New Hampshire","03851","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Minds In Motion","","(603) 883-1036","sjulianmim@gmail.com","","","317-319 West Hollis Street","Nashua","New Hampshire","03061","","","","","Licensed Group Child Care Program","","","","","96","","","","","",""
"Miss Amber's Daycare","","(603) 254-3904","amberjohnson1126@gmail.com","","","19 Page Street","Plymouth","New Hampshire","03264","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Miss Aria's Home Grown Kids","","(603) 767-0204","homegrownkids.llc@gmail.com","","","49 Perkins Road","Londonderry","New Hampshire","03053","","","","","Licensed Family Child Care Program","","","","","8","","","","","",""
"Miss Jess' Child Care","","(207) 459-6809","jessica_rollins@ymail.com","","","196 Bay Road","Farmington","New Hampshire","03835","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Miss Patty's Child Care Center","","(603) 834-5341","misspattys.childcarecenter@gmail.com","","","49 Piscataqua Road","Dover","NH","03820","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Miss Stephanie's Family Childcare","","(603) 622-0028","onetuffz@hotmail.com","","","147 Whitehall Road","Hooksett","New Hampshire","03106","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Monadnock Community Early Learning Center","","603.532.6021","maria@mceic.org","","","Route 202 South 5  Community Lane","Peterborough","New Hampshire","03458","","","","","Licensed Group Child Care Program","","","","","81","","","","","",""
"Montessori Discovery School of the Twin States","","603-667-8166","lebanonmontessori@aol.com","","","112 Etna Road","Lebanon","New Hampshire","03766","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Montessori Schoolhouse Of Cheshire County","","(603) 352-3301","mshocc@gmail.com","","","28 Hurricane Road","Keene","New Hampshire","03431","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Mothergoose Daycare","","603-702-5985","mhanson620@gmail.com","","","88 South Main Street","Newton","NH","03858","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Mountain Valley Treatment Center","","(603) 989-3500","zschafer@mountainvalleytreatment.org","","","703 River Road","Plainfield","NH","03781","","","","","Residential Child Care Program","","","","","24","","","","","",""
"MPA at Campton:  Depot Street and Owl Street","","(603) 726-4950","ian.detamore@mpa.us","","","19 Owl Street and 32 Depot Street","Campton","New Hampshire","03223","","","","","Residential Child Care Program","","","","","35","","","","","",""
"MPA at Hampton","","(603) 726-1855","samantha.ball@mpa.us","","","30 Winnacunnet Road","Hampton","New Hampshire","03842","","","","","Residential Child Care Program","","","","","22","","","","","",""
"MPA at Plymouth","","603-616-1644","rachel.umberger@mpa.us","","","350 Main Street","Plymouth","New Hampshire","03264","","","","","Residential Child Care Program","","","","","34","","","","","",""
"MPA at Rumney","","(603) 786-9216","rachel.umberger@mpa.us","","","1765 Route 25","Rumney","New Hampshire","03266","","","","","Residential Child Care Program","","","","","16","","","","","",""
"Ms. Darlene's Early Learning Center and Childcare","","(603) 818-1405","staff@msdarleneselcc.com","","","10 Kendall Pond RD","Londonderry","NH","03053","","","","","Licensed Group Child Care Program","","","","","73","","","","","",""
"My Little Rascals","","603-309-6123","pamelafenlason83pf@gmail.com","","","58 Roberts Hill Road","Claremont","New Hampshire","03743","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"My School","","(603) 742-0321","myschooldover@gmail.com","","","118 Locust Street","Dover","New Hampshire","03820","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
"Namaste' Children's House","","603-627-3503","namaste_childrenshouse@yahoo.com","","","535 Mast Road","Goffstown","New Hampshire","03045","","","","","Licensed Group Child Care Program","","","","","12","","","","","",""
"Nana's Littles","","603-543-7492","mariaohearne@gmail.com","","","77 Cummings Road","Charlestown","NH","03603","","","","","Licensed Family Child Care Program","","","","","10","","","","","",""
"Nanook Learning Center","","603-507-4864","beth.giesta@nanooklearningcenter.com","","","73 Pickering Road Unit 102","Rochester","NH","03839","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Nashua Adult Learning Center - Adventure Camp","","(603) 882-9080","lparsons@nashuaalc.org","","","40 Arlington Street","Nashua","New Hampshire","03060","","","","","Licensed Group Child Care Program","","","","","109","","","","","",""
"Nashua Adult Learning Center - Early Childhood Adventures Program","","(603) 882-9080","jmarquis@nashuaalc.org","","","4 Lake Street","Nashua","New Hampshire","03060","","","","","Licensed Group Child Care Program","Step 3","","","","72","","","","","",""
"Nashua Child Learning Center","","(603) 883-4356","nclckids@community-chapel.org","","","5 Saint Laurent Street","Nashua","New Hampshire","03064","","","","","Licensed Group Child Care Program","","","","","150","","","","","",""
"Nashua Children's Home","","(603) 883-3851","mfentross@nashuachildrenshome.org","","","125 Amherst Street","Nashua","New Hampshire","03064","","","","","Residential Child Care Program","","","","","43","","","","","",""
"Nashua Children's Home - Concord Street","","(603) 883-3851","mfentross@nashuachildrenshome.org","","","86 Concord Street","Nashua","New Hampshire","03060","","","","","Residential Child Care Program","","","","","12","","","","","",""
"Nature's Place Early Learning Center","","(603) 734-4023","naturesplaceelc@yahoo.com","","","106 Church Street","Nottingham","New Hampshire","03290","","","","","Licensed Group Child Care Program","","","","","24","","","","","",""
"Nature's Way of Learning","","(603) 423-0267","kayamrock@yahoo.com","","","33 Baboosic Lake Road","Merrimack","NH","03054","","","","","Licensed Group Child Care Program","","","","","78","","","","","",""
"Nellie's Treehouse","","(603) 769-9545","louellette@nelliestreehouse.com","","","29 State Route 101 A","Amherst","New Hampshire","03031","","","","","Licensed Group Child Care Program","","","","","69","","","","","",""
"New England Child Care Academy","","(603) 458-8176","l.costa34@comcast.net","","","116A Pleasant Street","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","21","","","","","",""
"New Morning After School Program @ Bedford Memorial","","(603) 669-3591","admin@newmorningschools.com","","","55 Old Bedford Road","Bedford","New Hampshire","03110","","","","","Licensed Group Child Care Program","Step 2","","","","90","","","","","",""
"New Morning After School Program @ Dunbarton Elementary","","(603) 669-3591","admin@newmorningschools.com","","","20 Robert Rogers Road","Dunbarton","New Hampshire","03046","","","","","Licensed Group Child Care Program","Step 2","","","","90","","","","","",""
"New Morning After School Program @ Henry Moore","","(603) 669-3591","admin@newmorningschools.com","","","12 Deerfield Road","Candia","New Hampshire","03034","","","","","Licensed Group Child Care Program","Step 2","","","","51","","","","","",""
"New Morning After School Program @ McDonough","","(603) 669-3591","admin@newmorningschools.com","","","550 Lowell Street","Manchester","New Hampshire","03104","","","","","Licensed Group Child Care Program","Step 2","","","","75","","","","","",""
"New Morning After School Program @ McKelvie","","(603) 669-3591","admin@newmorningschools.com","","","108 Liberty Hill Road","Bedford","New Hampshire","03110","","","","","Licensed Group Child Care Program","Step 2","","","","45","","","","","",""
"New Morning After School Program @ Peter Woodbury","","(603) 669-3591","admin@newmorningschools.com","","","180 County Road","Bedford","New Hampshire","03110","","","","","Licensed Group Child Care Program","Step 2","","","","120","","","","","",""
"New Morning After School Program @ Riddle Brook","","(603) 669-3591","admin@newmorningschools.com","","","230 New Boston Road","Bedford","New Hampshire","03110","","","","","Licensed Group Child Care Program","Step 2","","","","90","","","","","",""
"New Morning Before and After School Programs @ Auburn Village","","(603) 669-3591","admin@newmorningschools.com","","","11 Eaton Hill Road","Auburn","New Hampshire","03032","","","","","Licensed Group Child Care Program","Step 2","","","","75","","","","","",""
"New Morning Before and After School Programs @ Center Woods","","(603) 669-3591","admin@newmorningschools.com","","","14 Center Road","Weare","New Hampshire","03281","","","","","Licensed Group Child Care Program","Step 2","","","","75","","","","","",""
"New Morning Before and After School Programs @ Fred Underhill","","(603) 669-3591","admin@newmorningschools.com","","","2 Sherwood Drive","Hooksett","New Hampshire","03106","","","","","Licensed Group Child Care Program","Step 2","","","","128","","","","","",""
"New Morning Before and After School Programs @ Northwest","","(603) 669-3591","admin@newmorningschools.com","","","300 Youville Street","Manchester","New Hampshire","03102","","","","","Licensed Group Child Care Program","Step 2","","","","75","","","","","",""
"New Morning Before and After School Programs @ Parker Varney","","(603) 669-3591","admin@newmorningschools.com","","","223 James A. Pollock Drive","Manchester","New Hampshire","03102","","","","","Licensed Group Child Care Program","Step 2","","","","50","","","","","",""
"New Morning Before and After School Programs @ Smyth Road School","","(603) 669-3591","admin@newmorningschools.com","","","245 Bruce Road","Manchester","New Hampshire","03104","","","","","Licensed Group Child Care Program","Licensed","","","","89","","","","","",""
"New Morning Before School Program @ Jacques Memorial","","(603) 669-3591","admin@newmorningschools.com","","","9 Elm Street","Milford","New Hampshire","03055","","","","","Licensed Group Child Care Program","Step 2","","","","45","","","","","",""
"New Morning School of Bedford","","(603) 669-3591","admin@newmorningschools.com","","","23 Back River Road","Bedford","New Hampshire","03110","","","","","Licensed Group Child Care Program","Step 2","","","","142","","","","","",""
"Newton Learning Center","","603-382-3333","caranewtonlearningctr@gmail.com","","","31 South Main Street","Newton","NH","03858","","","","","Licensed Group Child Care Program","","","","","80","","","","","",""
"Nielsen Daycare","","603-818-8833","nielsen.raelen@gmail.com","","","111 Litchfield Road","Londonderry","New Hampshire","03053","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Noah's Ark Child Care Center","","(603) 669-7990","kreed@noahsarknh.org","","","491 East Industrial Park Drive","Manchester","New Hampshire","03109-5313","","","","","Licensed Group Child Care Program","","","","","175","","","","","",""
"Northern Shores Day Care","","(603) 387-5896","w5577@metrocast.net","","","11 Dublin Drive","Lochmere","New Hampshire","03252","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Northwest Head Start","","(603) 518-5824","snhschdev@snhs.org","","","300 Youville Street","Manchester","New Hampshire","03102","","","","","Licensed Group Child Care Program","Step 3","","","","30","","","","","",""
"Nurture And Nature Children's Center","","(603) 772-3811","director.nurturenature@gmail.com","","","171 Exeter Road","Newfields","New Hampshire","03856","","","","","Licensed Group Child Care Program","Step 3","","","","52","","","","","",""
"Nutfield Cooperative School","","(603) 434-2602","cmurray@nutfieldcoop.com","","","47 East Derry Road","East Derry","New Hampshire","03041","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Oasis Teen Shelter - Support Center","","603-287-7120","cpellerin@clpnh.org","","","169 Main Street","Claremont","NH","03743","","","","","Residential Child Care Program","","","","","14","","","","","",""
"One-4-All Child Care","","(603) 287-7120","cpellerin@clpnh.org","","","169 Main Street","Claremont","NH","03743","","","","","Licensed Group Child Care Program","","","","","34","","","","","",""
"Open Door Preschool and Childcare Center","","(603) 520-5618","kidstartchildcare@yahoo.com","","","645 Union Avenue","Laconia","New Hampshire","03246","","","","","Licensed Group Child Care Program","","","","","54","","","","","",""
"Orchard Kids","","(603) 425-6231","lisa@orchardkids.org","","","136 Pillsbury Road","Londonderry","NH","03053","","","","","Licensed Group Child Care Program","","","","","24","","","","","",""
"Orion House","","(603) 863-4918","principal@granitehillschool.org","","","139 Elm Street","Newport","New Hampshire","03773","","","","","Residential Child Care Program","","","","","16","","","","","",""
"Ossipee Concerned Citizens Child Care Center","","(603) 539-6772","amadjutant@aol.com","","","3 Dore Street","Center Ossipee","New Hampshire","03814","","","","","Licensed Group Child Care Program","","","","","46","","","","","",""
"Our Little Ones","","(603) 617-0155","aeverngam@comcast.net","","","7 Birch Drive","Dover","New Hampshire","03820","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Our Redeemer Preschool","","(603) 878-1837","orpreschool123@gmail.com","","","200  Ashby Road","New Ipswich","New Hampshire","03071","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"Out of the Box Family Child Care","","(603) 817-9840","outofboxccc@gmail.com","","","18 Winter St Apt B","Rochester","NH","","","","","","License Exempt Family Child Care Program","","","","","3","","","","","",""
"Over The Rainbow Preschool","","(603) 432-6655","misscorrie@comcast.net","","","223 Rockingham Road","Derry","New Hampshire","03038","","","","","Licensed Group Child Care Program","","","","","78","","","","","",""
"Pals & Paws LLC","","(603) 937-0284","funsullys@gmail.com","","","2 Clough St","Meredith","NH","03253","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Panda Bear Montessori","","(603) 852-1933","pandabearmontessori@gmail.com","","","20 Parsons Way","Bow","NH","03304","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"PathFinders Natural Learning Center","","603-228-9592","pathfindersnh@gmail.com","","","11 Oxbow Pond Road","Canterbury","NH","03224","","","","","Licensed Group Child Care Program","","","","","16","","","","","",""
"Patsy's House Day Care & Learning Center","","(603) 898-5655","patsyshousedaycare@yahoo.com","","","76 Lawrence Road","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","34","","","","","",""
"PB & J's Child Care and Learning Center","","(603) 744-0048","jasontinanorth@gmail.com","","","1420 Peaked Hill Road","Bristol","New Hampshire","03222","","","","","Licensed Group Child Care Program","","","","","48","","","","","",""
"Pelham School Age Child Care","","(603) 635-9733","info@psacc-nh.org","","","61 Marsh Road","Pelham","New Hampshire","03076","","","","","Licensed Group Child Care Program","","","","","185","","","","","",""
"Pemi Youth Center","","(603) 536-7264","mjdunn@pemiyouthcenter.org","","","111 Main Street","Plymouth","New Hampshire","03264","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Penny's Child Care","","(603) 886-7970","pennyskidcare@aol.com","","","47 Heritage Circle","Hudson","New Hampshire","03051","","","","","Licensed Family Child Care Program","Step 2","","","","15","","","","","",""
"Picard's Family Day Care","","(603) 558-0681","lauriepicard11@comcast.net","","","165 A Sugar River Drive","Claremont","New Hampshire","03743","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Piggyback Rides and Slippery Slides","","(603) 744-9448","piggybackridesbristol@gmail.com","","","12 Bristol Hill Road","Bristol","New Hampshire","03222","","","","","Licensed Group Child Care Program","","","","","80","","","","","",""
"Pine Haven Boys Center","","(603) 485-7141","remo@pinehavenboyscenter.org","","","133 River Road","Allenstown","New Hampshire","03275","","","","","Residential Child Care Program","","","","","23","","","","","",""
"Pines Community Center","","(603) 286-8653","pccprogramdirector@gmail.com","","","61 Summer Street","Northfield","New Hampshire","03276","","","","","Licensed Group Child Care Program","","","","","180","","","","","",""
